PLAYER_ID	PLAYER_NAME	TEAM_ABBREVIATION	PTS	AST	REB	STL	BLK	DREB	OREB	TO	FGA	FGM	FG3M	FG3A	FTM	FTA
202691	Klay Thompson	GSW	42	5	8	1	2	6	2	6	42	15	7	20	5	5
203952	Andrew Wiggins	GSW	687	68	160	34	22	119	41	62	525	255	82	195	95	134
1626172	Kevon Looney	GSW	246	63	273	22	32	172	101	32	193	103	0	1	40	66
1627780	Gary Payton II	GSW	312	32	145	55	9	101	44	20	201	130	29	70	23	39
201939	Stephen Curry	GSW	1005	231	210	55	19	186	24	131	772	324	188	490	169	184
2738	Andre Iguodala	GSW	95	89	77	17	15	61	16	18	92	37	12	54	9	12
1629673	Jordan Poole	GSW	594	115	108	32	9	100	8	83	466	205	87	262	97	108
203490	Otto Porter Jr.	GSW	283	51	178	35	16	142	36	20	230	106	54	136	17	24
1630228	Jonathan Kuminga	GSW	153	8	55	11	3	40	15	19	124	56	10	37	31	51
1627814	Damion Lee	GSW	245	30	94	16	4	84	10	17	202	89	35	99	32	37
202357	Nemanja Bjelica	GSW	263	63	155	24	13	121	34	43	218	96	39	107	32	48
1629308	Juan Toscano-Anderson	GSW	187	82	114	31	13	92	22	45	147	74	14	51	25	43
1629185	Chris Chiozza	GSW	43	37	26	8	0	18	8	19	55	15	12	35	1	1
202083	Wesley Matthews	MIL	111	12	34	7	5	26	8	7	81	41	26	59	3	6
203114	Khris Middleton	MIL	615	170	176	35	6	154	22	102	474	206	77	198	126	142
1626171	Bobby Portis	MIL	543	46	320	27	29	223	97	58	434	209	69	159	56	71
1628960	Grayson Allen	MIL	442	48	126	30	15	110	16	24	365	153	101	259	35	41
203507	Giannis Antetokounmpo	MIL	996	215	401	36	52	335	66	119	644	350	38	136	258	369
1629670	Jordan Nwora	MIL	307	37	142	18	13	117	25	37	286	119	55	145	14	19
1626192	Pat Connaughton	MIL	435	58	189	39	13	159	30	28	333	157	95	240	26	33
1628978	Donte DiVincenzo	MIL	29	2	27	2	0	19	8	9	32	6	5	22	12	13
201588	George Hill	MIL	234	83	107	26	5	79	28	32	195	85	28	93	36	38
203918	Rodney Hood	MIL	121	28	62	11	3	51	11	7	116	42	24	74	13	14
1630572	Sandro Mamukelashvili	MIL	86	13	52	6	6	26	26	9	75	32	13	35	9	12
1629623	Lindell Wigginton	MIL	2	0	1	1	0	1	0	0	1	1	0	0	0	0
1628400	Semi Ojeleye	MIL	48	5	57	5	5	32	25	5	67	15	9	39	9	11
203648	Thanasis Antetokounmpo	MIL	92	19	77	13	7	47	30	17	82	38	1	11	15	24
202694	Marcus Morris Sr.	LAC	352	46	108	10	8	94	14	29	293	125	43	121	59	67
201587	Nicolas Batum	LAC	192	36	110	25	20	101	9	21	148	70	44	114	8	14
1627826	Ivica Zubac	LAC	360	42	313	19	42	210	103	50	208	137	0	0	86	116
1629599	Amir Coffey	LAC	186	44	86	13	6	75	11	12	132	58	31	82	39	45
202704	Reggie Jackson	LAC	638	151	135	29	5	115	20	84	628	240	98	298	60	71
1629611	Terance Mann	LAC	448	98	221	22	6	161	60	46	353	171	45	118	61	82
201586	Serge Ibaka	LAC	154	28	99	5	16	75	24	27	129	61	18	46	14	21
202339	Eric Bledsoe	LAC	433	177	150	57	16	128	22	96	378	161	40	128	71	91
1630527	Brandon Boston Jr.	LAC	178	21	59	16	7	52	7	19	172	62	17	61	37	43
1630206	Jay Scrubb	LAC	39	7	11	3	3	9	2	5	40	15	5	19	4	7
1629875	Xavier Moon	LAC	33	10	9	5	1	8	1	3	34	14	3	10	2	3
1629117	Wenyen Gabriel	LAC	14	2	15	1	2	10	5	3	13	5	2	5	2	4
1630529	Herbert Jones	NOP	344	73	146	57	38	98	48	42	271	132	24	62	56	68
1627742	Brandon Ingram	NOP	756	168	200	20	11	175	25	90	614	276	55	157	149	181
202685	Jonas Valanciunas	NOP	720	93	475	21	35	340	135	95	525	274	40	92	132	160
1628404	Josh Hart	NOP	433	145	243	30	11	199	44	65	307	157	34	100	85	113
1628984	Devonte' Graham	NOP	543	178	101	39	7	83	18	61	486	179	118	331	67	82
1629637	Jaxson Hayes	NOP	206	10	106	9	20	66	40	19	128	74	5	15	53	68
1629638	Nickeil Alexander-Walker	NOP	507	100	133	34	13	101	32	64	517	191	79	256	46	65
1629109	Gary Clark	NOP	40	4	28	3	2	22	6	3	29	13	12	26	2	4
202066	Garrett Temple	NOP	244	50	113	31	17	88	25	34	216	86	50	140	22	30
1630631	Jose Alvarado	NOP	32	20	17	11	1	12	5	2	32	10	5	16	7	11
1630530	Trey Murphy III	NOP	135	20	76	10	5	51	25	11	134	44	33	97	14	17
1630230	Naji Marshall	NOP	73	20	56	9	3	42	14	20	69	22	4	28	25	29
1626195	Willy Hernangomez	NOP	178	28	154	8	5	98	56	20	125	70	2	3	36	51
203107	Tomas Satoransky	NOP	88	71	63	14	1	45	18	23	103	32	5	30	19	25
1630162	Anthony Edwards	MIN	814	134	193	56	25	154	39	115	671	297	119	318	101	126
