PLAYER_ID	PLAYER_NAME	TEAM_ABBREVIATION	PTS	AST	REB	STL	BLK	DREB	OREB	TO	FGA	FGM	FG3M	FG3A	FTM	FTA
1629020	Jarred Vanderbilt	MIN	246	49	342	57	28	223	119	41	183	105	2	10	34	53
1626157	Karl-Anthony Towns	MIN	861	130	324	38	42	222	102	124	591	307	80	191	167	205
201976	Patrick Beverley	MIN	262	149	134	33	27	98	36	36	227	94	36	116	38	53
1626156	D'Angelo Russell	MIN	607	223	119	29	17	107	12	82	526	213	98	276	83	103
1627736	Malik Beasley	MIN	515	70	134	25	5	118	16	33	500	185	125	365	20	27
1630183	Jaden McDaniels	MIN	316	41	179	31	24	124	55	42	300	126	37	134	27	33
1629675	Naz Reid	MIN	343	28	154	19	38	97	57	39	277	126	33	99	58	81
1629006	Josh Okogie	MIN	73	18	56	16	9	33	23	15	66	23	8	31	19	31
1627752	Taurean Prince	MIN	143	27	62	13	7	49	13	18	131	50	26	84	17	23
1630233	Nathan Knight	MIN	78	14	52	3	7	32	20	12	45	24	2	7	28	40
1627774	Jake Layman	MIN	44	5	23	5	3	19	4	7	46	17	4	24	6	8
1629162	Jordan McLaughlin	MIN	61	66	30	18	1	24	6	19	74	21	4	28	15	22
1630533	Ziaire Williams	MEM	152	19	34	12	6	28	6	14	146	59	25	87	9	11
203937	Kyle Anderson	MEM	295	96	191	39	22	157	34	38	267	117	24	71	37	57
1628991	Jaren Jackson Jr.	MEM	704	48	242	46	90	185	57	73	575	237	77	243	153	185
1630217	Desmond Bane	MEM	756	104	190	48	20	169	21	68	611	285	127	301	59	66
1629630	Ja Morant	MEM	762	210	179	40	14	138	41	98	582	282	47	131	151	196
1630214	Xavier Tillman	MEM	159	37	106	39	14	63	43	22	144	62	6	34	29	46
1629001	De'Anthony Melton	MEM	339	99	153	57	22	118	35	56	322	125	53	168	36	48
1629723	John Konchar	MEM	175	50	155	27	7	112	43	15	119	67	28	55	13	23
1629634	Brandon Clarke	MEM	288	41	158	10	31	99	59	15	194	125	2	15	36	54
1626145	Tyus Jones	MEM	358	179	120	38	2	108	12	34	296	141	43	110	33	36
1630583	Santi Aldama	MEM	79	13	59	2	6	37	22	8	85	32	4	35	11	19
1629633	Jarrett Culver	MEM	72	19	29	9	2	24	5	4	69	30	5	22	7	14
1629652	Luguentz Dort	OKC	613	63	149	33	14	125	24	56	520	209	91	285	104	124
1630598	Aaron Wiggins	OKC	166	27	75	16	5	57	18	18	127	62	18	56	24	33
1630526	Jeremiah Robinson-Earl	OKC	265	34	206	19	12	144	62	31	238	98	42	123	27	39
1630581	Josh Giddey	OKC	414	231	263	38	17	209	54	102	423	171	40	143	32	47
1628983	Shai Gilgeous-Alexander	OKC	809	192	171	35	28	148	23	88	657	276	60	213	197	238
1630544	Tre Mann	OKC	203	22	67	16	7	56	11	18	197	79	29	81	16	24
1629647	Darius Bazley	OKC	328	41	227	26	46	186	41	51	307	123	35	125	47	73
203488	Mike Muscala	OKC	278	17	101	15	22	86	15	11	196	90	56	128	42	48
1629660	Ty Jerome	OKC	223	56	49	20	3	35	14	24	207	82	30	108	29	36
1629603	Mamadi Diakite	OKC	2	0	0	0	0	0	0	0	3	1	0	0	0	0
202324	Derrick Favors	OKC	152	23	137	12	7	97	40	6	142	70	2	12	10	18
1630177	Theo Maledon	OKC	78	22	37	10	2	29	8	18	78	22	8	44	26	30
1630846	Olivier Sarr	OKC	4	0	5	0	2	5	0	0	3	1	0	1	2	2
1628778	Paul Watson	OKC	31	8	27	3	3	24	3	4	35	12	6	26	1	2
1627761	DeAndre' Bembry	BKN	214	45	117	39	20	91	26	24	159	93	12	27	16	27
1630556	Kessler Edwards	BKN	72	10	40	8	7	26	14	10	70	30	11	31	1	1
1630549	Day'Ron Sharpe	BKN	88	3	62	3	8	30	32	15	62	39	1	3	9	17
1628971	Bruce Brown	BKN	220	39	145	39	18	102	43	23	195	95	10	32	20	26
201935	James Harden	BKN	814	356	289	49	27	255	34	169	567	235	88	261	256	292
201933	Blake Griffin	BKN	190	62	143	17	11	107	36	14	186	68	18	86	36	51
1628975	Jevon Carter	BKN	92	30	49	13	8	42	7	15	111	33	23	80	3	4
1630561	David Duke Jr.	BKN	79	13	56	7	5	30	26	8	78	29	7	25	14	17
201949	James Johnson	BKN	131	48	99	12	11	74	25	18	121	59	7	28	6	17
1630560	Cam Thomas	BKN	219	34	72	16	4	66	6	21	210	87	19	81	26	33
200794	Paul Millsap	BKN	82	24	89	5	11	60	29	11	85	32	6	27	12	17
1629642	Nassir Little	POR	333	43	201	23	32	151	50	31	265	117	42	133	57	79
203496	Robert Covington	POR	284	43	198	54	47	169	29	42	253	103	64	180	14	16
203994	Jusuf Nurkic	POR	511	104	387	43	20	295	92	85	362	195	8	38	113	158
203463	Ben McLemore	POR	210	19	31	9	3	24	7	15	163	71	53	126	15	18
1628372	Dennis Smith Jr.	POR	139	81	54	28	9	42	12	35	131	54	6	26	25	38
203503	Tony Snell	POR	68	16	44	5	4	36	8	8	64	24	17	48	3	3
1629604	CJ Elleby	POR	77	16	46	8	1	31	15	11	67	28	12	34	9	10
1629833	Keljin Blevins	POR	12	2	3	0	0	3	0	3	7	4	4	6	0	2
1630570	Trendon Watford	POR	45	8	33	2	8	24	9	10	37	18	0	1	9	17
1630535	Greg Brown III	POR	32	5	21	2	4	13	8	6	31	13	0	6	6	13
203469	Cody Zeller	POR	140	22	125	8	6	75	50	19	90	51	0	4	38	49
203932	Aaron Gordon	DEN	518	81	211	22	23	149	62	63	382	201	34	111	82	113
201145	Jeff Green	DEN	383	44	115	10	18	95	20	40	275	140	28	89	75	94
203999	Nikola Jokic	DEN	894	245	489	46	29	394	95	127	618	350	52	146	142	183
203115	Will Barton	DEN	534	146	172	31	15	149	23	65	476	203	83	225	45	58
1628420	Monte Morris	DEN	465	154	99	26	5	88	11	45	394	189	63	164	24	32
203085	Austin Rivers	DEN	174	32	54	15	2	43	11	24	166	64	35	110	11	18
1630267	Facundo Campazzo	DEN	266	165	84	46	19	70	14	50	221	87	47	140	45	56
1630192	Zeke Nnaji	DEN	147	8	78	6	7	50	28	7	105	51	22	46	23	38
1630538	Bones Hyland	DEN	243	48	67	15	7	61	6	29	234	84	47	144	28	32
1628432	Davon Reed	DEN	59	19	46	15	2	39	7	4	52	23	9	24	4	5
1630210	Markus Howard	DEN	72	5	5	6	0	5	0	6	64	23	19	48	7	8
1630532	Franz Wagner	ORL	657	116	197	42	20	145	52	64	549	247	53	148	110	130
1629643	Chuma Okeke	ORL	227	43	134	40	13	112	22	28	238	84	31	130	28	32
201577	Robin Lopez	ORL	151	36	74	1	11	30	44	23	120	68	0	3	15	25
203914	Gary Harris	ORL	410	65	80	31	8	54	26	45	337	151	60	164	48	57
1630175	Cole Anthony	ORL	555	164	175	24	7	158	17	77	468	189	74	215	103	120
1629021	Moritz Wagner	ORL	207	27	75	6	7	59	16	24	151	68	29	87	42	53
203082	Terrence Ross	ORL	438	75	96	21	9	83	13	52	361	150	51	163	87	100
1629678	Admiral Schofield	ORL	51	10	36	1	3	31	5	9	41	22	7	20	0	1
1630181	R.J. Hampton	ORL	277	96	111	23	8	98	13	52	253	98	37	99	44	73
1629649	Ignas Brazdeikis	ORL	33	8	22	4	1	15	7	5	42	12	4	22	5	6
1628976	Wendell Carter Jr.	ORL	485	100	380	26	24	300	80	60	374	183	46	139	73	101
202734	E'Twaun Moore	ORL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
203484	Kentavious Caldwell-Pope	WAS	454	69	146	45	17	125	21	51	387	162	84	215	46	53
1628398	Kyle Kuzma	WAS	628	119	346	25	27	307	39	84	520	237	74	226	80	117
1629655	Daniel Gafford	WAS	376	43	261	17	69	169	92	39	232	162	0	0	52	71
1630557	Corey Kispert	WAS	211	30	76	10	10	58	18	18	177	76	31	101	28	33
203915	Spencer Dinwiddie	WAS	446	189	155	19	5	129	26	52	380	151	54	168	90	113
203526	Raul Neto	WAS	278	97	77	25	1	70	7	43	250	111	14	62	42	56
1629060	Rui Hachimura	WAS	16	2	6	0	0	5	1	2	18	6	0	5	4	7
1626149	Montrezl Harrell	WAS	506	76	257	17	21	179	78	38	295	191	3	10	121	164
1630166	Deni Avdija	WAS	300	66	202	34	29	173	29	38	255	110	35	117	45	62
202722	Davis Bertans	WAS	186	15	57	11	6	51	6	13	158	57	45	133	27	29
1628418	Thomas Bryant	WAS	6	1	1	0	0	1	0	0	2	2	1	1	1	2
1630264	Anthony Gill	WAS	51	8	25	1	2	17	8	4	27	18	5	7	10	12
1628988	Aaron Holiday	WAS	206	63	52	19	8	48	4	31	178	84	19	52	19	24
202328	Greg Monroe	WAS	28	12	31	3	5	19	12	6	22	13	0	0	2	5
1630225	Isaiah Todd	WAS	16	1	9	2	2	7	2	1	15	5	4	10	2	4
1628369	Jayson Tatum	BOS	976	142	321	39	31	279	42	110	803	337	106	321	196	233
201143	Al Horford	BOS	356	124	248	23	47	197	51	37	303	131	39	140	55	64
1629057	Robert Williams III	BOS	323	57	296	28	71	170	126	39	191	143	0	0	37	56
1627759	Jaylen Brown	BOS	687	84	184	31	14	160	24	86	538	249	82	215	107	138
203471	Dennis Schroder	BOS	563	158	117	28	3	98	19	80	465	203	51	149	106	124
1626196	Josh Richardson	BOS	313	45	81	26	15	63	18	24	246	111	42	105	49	58
1629684	Grant Williams	BOS	264	36	120	20	24	92	28	28	184	88	52	125	36	41
1630202	Payton Pritchard	BOS	156	56	59	5	4	47	12	23	158	56	36	100	8	8
202683	Enes Freedom	BOS	107	4	132	5	11	77	55	15	83	45	1	4	16	20
1630271	Brodric Thomas	BOS	4	5	5	0	0	3	2	2	9	1	0	6	2	2
1630174	Aaron Nesmith	BOS	86	10	47	8	1	39	8	17	93	32	15	64	7	9
1629641	Romeo Langford	BOS	158	17	95	20	12	67	28	12	144	61	21	63	15	23
1628981	Bruno Fernando	BOS	8	1	7	0	2	4	3	5	5	3	0	0	2	2
1627823	Juancho Hernangomez	BOS	19	3	25	4	2	16	9	6	27	5	3	18	6	9
203200	Justin Holiday	IND	369	57	103	22	10	93	10	36	326	128	87	246	26	31
1626167	Myles Turner	IND	535	44	290	25	116	228	62	54	384	198	61	180	78	103
1627734	Domantas Sabonis	IND	781	191	486	43	16	355	131	125	501	290	31	98	170	229
1627747	Caris LeVert	IND	514	116	93	29	16	75	18	50	450	196	45	144	77	98
1627763	Malcolm Brogdon	IND	500	160	140	23	11	116	24	59	397	177	46	148	100	117
202362	Lance Stephenson	IND	88	42	36	7	0	32	4	15	80	37	8	29	6	9
1628470	Torrey Craig	IND	210	40	127	14	10	82	45	24	167	81	24	78	24	29
203087	Jeremy Lamb	IND	199	37	71	13	10	59	12	17	172	63	29	87	44	48
1629052	Oshae Brissett	IND	194	23	123	17	11	81	42	21	167	74	29	78	17	30
1630613	Duane Washington Jr.	IND	91	21	20	7	1	19	1	13	93	32	13	46	14	19
1630543	Isaiah Jackson	IND	20	0	17	2	3	11	6	1	18	8	0	0	4	8
1626208	Keifer Sykes	IND	72	26	19	5	1	17	2	10	62	27	10	33	8	9
1630678	Terry Taylor	IND	0	1	1	0	0	1	0	0	0	0	0	0	0	0
1629048	Goga Bitadze	IND	57	3	46	10	11	25	21	8	61	20	4	29	13	20
202330	Gordon Hayward	CHA	708	154	197	38	21	164	33	71	543	256	74	189	122	142
1628970	Miles Bridges	CHA	782	144	292	46	34	239	53	72	623	296	76	239	114	151
203486	Mason Plumlee	CHA	215	93	232	28	28	156	76	37	155	94	0	1	27	71
1626179	Terry Rozier	CHA	602	114	129	40	14	106	23	38	505	223	96	249	60	75
1630163	LaMelo Ball	CHA	693	275	263	59	15	206	57	108	599	252	97	264	92	105
1628998	Cody Martin	CHA	316	100	151	54	18	106	45	31	236	115	40	83	46	62
1629667	Jalen McDaniels	CHA	234	42	123	20	14	95	28	28	176	88	29	77	29	44
1629023	P.J. Washington	CHA	257	60	141	20	27	106	35	35	201	90	47	115	30	43
1630547	James Bouknight	CHA	65	14	27	1	0	13	14	6	67	23	11	28	8	10
1629083	Arnoldas Kulboka	CHA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1630575	Scottie Lewis	CHA	1	1	0	1	0	0	0	0	0	0	0	0	1	2
1630208	Nick Richards	CHA	124	11	68	9	19	41	27	18	73	50	0	0	24	29
202397	Ish Smith	CHA	129	75	39	15	7	35	4	30	139	56	8	18	9	16
1630550	JT Thor	CHA	26	6	14	4	6	9	5	4	25	9	3	16	5	8
1629680	Matisse Thybulle	PHI	176	33	74	54	34	58	16	23	150	73	22	77	8	9
202699	Tobias Harris	PHI	569	122	234	17	19	198	36	53	473	215	35	117	104	122
203954	Joel Embiid	PHI	786	125	304	32	41	249	55	86	519	250	36	94	250	309
203552	Seth Curry	PHI	582	139	119	28	5	104	15	67	427	220	80	194	62	71
1630178	Tyrese Maxey	PHI	547	146	114	22	18	101	13	40	444	208	43	112	88	101
1627788	Furkan Korkmaz	PHI	334	80	113	22	4	101	12	30	307	120	54	176	40	48
201980	Danny Green	PHI	194	32	75	38	25	59	16	26	162	66	53	139	9	10
1627777	Georges Niang	PHI	357	47	94	18	8	83	11	27	289	128	71	179	30	35
203083	Andre Drummond	PHI	225	69	320	39	35	216	104	57	178	94	0	1	37	70
1630198	Isaiah Joe	PHI	101	20	34	5	2	31	3	7	93	32	23	69	14	15
1629619	Myles Powell	PHI	13	2	5	1	0	4	1	3	13	5	1	4	2	2
1629718	Charlie Brown Jr.	PHI	6	2	8	6	2	7	1	2	10	2	0	6	2	3
1629646	Charles Bassey	PHI	58	6	54	4	15	36	18	7	37	25	0	3	8	11
1630194	Paul Reed	PHI	43	10	46	12	10	26	20	7	42	20	0	4	3	6
1628997	Caleb Martin	MIA	284	30	119	28	17	82	37	25	220	111	32	87	30	45
200782	P.J. Tucker	MIA	287	78	200	27	11	141	59	33	217	108	48	103	23	33
1630209	Omer Yurtseven	MIA	186	36	207	15	17	149	58	31	165	79	1	7	27	42
1629622	Max Strus	MIA	346	36	103	10	2	92	11	21	256	120	79	188	27	35
200768	Kyle Lowry	MIA	502	308	168	38	13	145	23	116	402	168	76	236	90	107
1629639	Tyler Herro	MIA	723	144	177	20	6	152	25	100	632	271	93	243	88	101
1629130	Duncan Robinson	MIA	458	55	128	25	8	113	15	28	401	156	119	333	27	33
203473	Dewayne Dedmon	MIA	219	29	209	13	17	148	61	32	148	86	12	20	35	46
1629216	Gabe Vincent	MIA	290	96	67	28	7	52	15	49	238	105	56	146	24	31
1629657	Kyle Guy	MIA	49	14	8	4	1	7	1	5	35	18	9	20	4	5
1629735	Chris Silva	MIA	24	3	27	0	0	17	10	4	13	8	0	0	8	9
2617	Udonis Haslem	MIA	24	2	17	1	1	13	4	2	20	10	1	2	3	3
1627789	Timothe Luwawu-Cabarrot	ATL	127	24	43	11	3	35	8	10	110	42	26	75	17	20
1628381	John Collins	ATL	610	69	280	24	39	215	65	42	421	229	47	107	105	133
1630168	Onyeka Okongwu	ATL	72	9	50	5	10	33	17	10	38	29	0	0	14	20
203992	Bogdan Bogdanovic	ATL	330	67	102	20	6	94	8	26	294	123	61	169	23	31
1629027	Trae Young	ATL	996	340	144	34	4	117	27	148	755	341	96	263	218	243
201568	Danilo Gallinari	ATL	300	42	130	14	6	112	18	18	234	96	47	120	61	65
1626153	Delon Wright	ATL	144	87	103	26	7	75	28	26	122	52	18	46	22	26
1628989	Kevin Huerter	ATL	372	90	111	17	8	100	11	45	318	147	57	159	21	27
1629631	De'Andre Hunter	ATL	134	7	31	8	4	27	4	14	122	54	18	42	8	14
203476	Gorgui Dieng	ATL	105	26	94	8	10	67	27	16	78	36	17	42	16	21
1630536	Sharife Cooper	ATL	7	5	5	0	0	5	0	5	14	3	1	6	0	0
1630219	Skylar Mays	ATL	77	14	23	7	0	18	5	6	59	31	8	25	7	7
101150	Lou Williams	ATL	176	40	43	15	2	35	8	25	172	63	17	56	33	39
1627827	Dorian Finney-Smith	DAL	418	77	188	48	22	127	61	38	340	153	78	205	34	51
1628467	Maxi Kleber	DAL	201	27	157	11	23	127	30	19	164	68	46	123	19	26
203939	Dwight Powell	DAL	289	45	186	20	16	104	82	31	179	109	12	29	59	83
1628973	Jalen Brunson	DAL	639	224	150	33	2	126	24	66	513	256	42	125	85	110
1629029	Luka Doncic	DAL	642	230	217	31	11	199	18	122	543	236	65	210	105	146
203501	Tim Hardaway Jr.	DAL	507	85	136	36	6	123	13	24	456	180	85	259	62	83
203493	Reggie Bullock	DAL	218	38	97	14	5	90	7	18	207	78	49	155	13	17
1629650	Moses Brown	DAL	81	0	59	3	8	43	16	14	50	27	0	0	27	43
1630182	Josh Green	DAL	105	27	52	13	5	37	15	11	75	43	5	15	14	19
1627737	Marquese Chriss	DAL	67	3	41	2	4	32	9	10	47	28	5	11	6	10
1628425	Sterling Brown	DAL	136	29	121	12	5	100	21	20	121	50	26	75	10	11
1628373	Frank Ntilikina	DAL	150	45	47	21	3	41	6	20	141	53	25	72	19	19
1629033	Theo Pinson	DAL	25	12	16	4	2	16	0	2	27	8	5	20	4	4
203504	Trey Burke	DAL	142	40	22	8	0	20	2	16	128	55	16	49	16	17
1626246	Boban Marjanovic	DAL	79	2	30	0	2	23	7	11	56	35	1	3	8	16
1629628	RJ Barrett	NYK	582	83	192	17	11	167	25	63	502	210	68	191	94	135
203944	Julius Randle	NYK	759	197	409	30	23	339	70	140	664	275	69	221	140	184
1629011	Mitchell Robinson	NYK	304	17	308	20	62	178	130	29	163	129	0	0	46	82
202692	Alec Burks	NYK	482	101	177	54	11	155	22	37	381	148	79	192	107	130
203095	Evan Fournier	NYK	545	72	115	36	9	96	19	52	473	197	107	276	44	60
203457	Nerlens Noel	NYK	63	14	105	19	27	66	39	15	47	24	0	3	15	18
1630193	Immanuel Quickley	NYK	398	102	88	23	3	75	13	44	339	132	68	196	66	71
1629656	Quentin Grimes	NYK	118	22	34	13	4	30	4	15	103	40	33	86	5	8
1630167	Obi Toppin	NYK	291	38	137	12	18	99	38	30	213	112	12	59	55	70
1630540	Miles McBride	NYK	38	20	14	8	1	12	2	3	52	15	5	27	3	4
1628995	Kevin Knox II	NYK	47	3	22	2	1	14	8	5	40	15	10	28	7	10
1630579	Jericho Sims	NYK	15	1	22	2	5	14	8	2	8	6	0	0	3	4
201959	Taj Gibson	NYK	92	20	114	12	22	73	41	17	73	36	4	14	16	21
201569	Eric Gordon	HOU	534	121	62	22	16	54	8	81	372	186	85	188	77	105
1630256	Jae'Sean Tate	HOU	509	128	235	35	27	166	69	74	401	200	32	107	77	111
1626174	Christian Wood	HOU	689	84	401	28	36	329	72	70	533	255	64	186	115	187
1629645	Kevin Porter Jr.	HOU	336	153	117	33	9	96	21	102	315	115	50	151	56	92
1630224	Jalen Green	HOU	425	59	90	16	5	81	9	70	355	141	56	180	87	106
1630231	Kenyon Martin Jr.	HOU	326	53	149	17	22	108	41	27	246	129	24	73	44	68
1629726	Garrison Mathews	HOU	293	24	94	17	11	80	14	18	212	87	64	176	55	69
201571	D.J. Augustin	HOU	171	73	38	10	0	32	6	40	129	52	37	92	30	34
1628464	Daniel Theis	HOU	218	20	128	11	16	97	31	30	177	84	23	78	27	40
1630528	Josh Christopher	HOU	248	60	70	29	5	47	23	54	199	91	26	75	40	50
1629717	Armoni Brooks	HOU	237	47	65	20	7	56	9	19	221	81	59	186	16	18
1630586	Usman Garuba	HOU	19	8	34	7	6	25	9	3	24	8	2	13	1	2
1630227	Daishen Nix	HOU	30	10	10	7	0	9	1	9	20	13	3	7	1	3
1628021	David Nwaba	HOU	177	27	129	22	18	100	29	15	141	67	10	35	33	47
1630243	Trevelin Queen	HOU	37	3	14	5	0	9	5	7	29	13	8	22	3	3
1630563	Joshua Primo	SAS	80	26	29	8	9	22	7	14	74	29	14	39	8	10
1628966	Keita Bates-Diop	SAS	185	22	138	16	12	103	35	27	143	75	11	31	24	36
1627751	Jakob Poeltl	SAS	422	93	299	24	48	160	139	56	325	194	0	0	34	87
1629022	Lonnie Walker IV	SAS	434	88	107	22	9	99	8	41	401	158	59	193	59	69
1627749	Dejounte Murray	SAS	677	321	296	75	16	252	44	88	638	282	52	154	61	86
1629640	Keldon Johnson	SAS	546	62	239	30	4	199	40	50	455	207	58	131	74	107
1630170	Devin Vassell	SAS	368	47	130	31	24	108	22	26	319	143	55	160	27	36
1627854	Bryn Forbes	SAS	348	39	63	17	3	59	4	33	288	123	59	146	43	48
1629111	Jock Landale	SAS	116	21	47	4	9	21	26	16	81	44	14	33	14	16
1629719	Devontae Cacok	SAS	28	2	21	4	5	16	5	1	21	14	0	0	0	0
204020	Tyler Johnson	SAS	17	7	12	3	3	9	3	2	20	6	5	13	0	0
1630237	Anthony Lamb	SAS	0	2	1	0	0	1	0	0	2	0	0	2	0	0
1630580	Joe Wieskamp	SAS	32	3	5	2	2	3	2	0	21	11	7	15	3	7
201152	Thaddeus Young	SAS	138	55	79	20	6	45	34	23	114	65	0	3	8	18
1630596	Evan Mobley	CLE	505	92	276	28	59	218	58	62	408	207	15	51	76	105
1628374	Lauri Markkanen	CLE	445	54	176	22	18	137	39	27	386	163	63	196	56	65
1628386	Jarrett Allen	CLE	586	64	377	31	51	263	114	66	343	240	1	8	105	148
1630205	Lamar Stevens	CLE	144	19	65	11	6	45	20	15	126	59	12	36	14	21
1629636	Darius Garland	CLE	689	271	116	46	3	99	17	130	555	258	93	250	80	88
1626224	Cedi Osman	CLE	340	51	79	32	8	67	12	26	268	119	67	173	35	51
201567	Kevin Love	CLE	485	70	252	11	8	214	38	42	344	149	87	212	100	113
1629164	Brandon Goodwin	CLE	25	15	12	3	0	10	2	5	29	11	1	8	2	8
1629731	Dean Wade	CLE	144	35	98	15	2	75	23	11	126	54	26	79	10	13
1629685	Dylan Windler	CLE	72	23	51	7	2	39	12	10	60	26	17	42	3	4
1630612	RJ Nembhard Jr.	CLE	11	10	2	0	0	2	0	1	11	5	0	1	1	2
1630698	Kevin Pangos	CLE	39	30	11	2	0	9	2	7	45	15	6	26	3	4
202334	Ed Davis	CLE	19	1	37	3	7	32	5	3	12	9	0	0	1	6
204060	Joe Ingles	UTA	277	129	107	20	5	95	12	44	232	98	67	182	14	18
202711	Bojan Bogdanovic	UTA	735	65	169	20	1	138	31	70	525	250	107	263	128	149
1626220	Royce O'Neale	UTA	286	98	196	53	21	163	33	37	213	104	56	139	22	31
1628378	Donovan Mitchell	UTA	976	195	145	61	8	113	32	112	784	355	124	358	142	161
201144	Mike Conley	UTA	515	197	111	41	10	89	22	57	397	183	89	209	60	75
203903	Jordan Clarkson	UTA	627	92	140	30	9	111	29	65	573	230	107	335	60	76
1629672	Eric Paschall	UTA	142	18	56	3	4	37	19	15	102	49	16	52	28	39
