player1	player2	player3	player4	player5
Bojan Bogdanovic	Rudy Gobert	Joe Ingles	Royce O'Neale	Donovan Mitchell
CJ McCollum	Tony Snell	Larry Nance Jr.	Anfernee Simons	Nassir Little
DeMar DeRozan	Nikola Vucevic	Zach LaVine	Coby White	Javonte Green
Jeff Green	Will Barton	JaMychal Green	Aaron Gordon	Monte Morris
Kyle Lowry	P.J. Tucker	Dewayne Dedmon	Duncan Robinson	Gabe Vincent
Eric Gordon	Christian Wood	Kevin Porter Jr.	Garrison Mathews	Jae'Sean Tate
Justin Holiday	Myles Turner	Keifer Sykes	Domantas Sabonis	Duane Washington Jr.
Harrison Barnes	Richaun Holmes	De'Aaron Fox	Chimezie Metu	Tyrese Haliburton
Dejounte Murray	Jakob Poeltl	Derrick White	Lonnie Walker IV	Keldon Johnson
Garrett Temple	Jonas Valanciunas	Brandon Ingram	Devonte' Graham	Herbert Jones
DeMar DeRozan	Zach LaVine	Alex Caruso	Lonzo Ball	Tony Bradley
Chris Paul	Jae Crowder	Frank Kaminsky	Devin Booker	Mikal Bridges
LeBron James	Russell Westbrook	Avery Bradley	Stanley Johnson	Malik Monk
Trey Lyles	Hamidou Diallo	Killian Hayes	Saddiq Bey	Cade Cunningham
Andre Drummond	Georges Niang	Furkan Korkmaz	Shake Milton	Matisse Thybulle
Lauri Markkanen	Jarrett Allen	Collin Sexton	Darius Garland	Evan Mobley
Harrison Barnes	Richaun Holmes	Buddy Hield	De'Aaron Fox	Tyrese Haliburton
Bradley Beal	Raul Neto	Montrezl Harrell	Kyle Kuzma	Deni Avdija
Ben McLemore	Robert Covington	Jusuf Nurkic	Anfernee Simons	Nassir Little
DeMar DeRozan	Nikola Vucevic	Zach LaVine	Derrick Jones Jr.	Lonzo Ball
Chris Paul	Devin Booker	Mikal Bridges	Cameron Johnson	Jalen Smith
Gary Harris	Mo Bamba	Wendell Carter Jr.	Franz Wagner	Jalen Suggs
DeMar DeRozan	Nikola Vucevic	Zach LaVine	Lonzo Ball	Patrick Williams
Danny Green	Tobias Harris	Seth Curry	Joel Embiid	Shake Milton
Dennis Schroder	Marcus Smart	Jaylen Brown	Jayson Tatum	Robert Williams III
Paul George	Eric Bledsoe	Marcus Morris Sr.	Reggie Jackson	Ivica Zubac
Damian Lillard	Robert Covington	Jusuf Nurkic	Norman Powell	Anfernee Simons
Dejounte Murray	Jakob Poeltl	Derrick White	Keldon Johnson	Devin Vassell
Cory Joseph	Trey Lyles	Frank Jackson	Hamidou Diallo	Saddiq Bey
Kevin Durant	Blake Griffin	James Harden	Patty Mills	Bruce Brown
Harrison Barnes	Alex Len	De'Aaron Fox	Marvin Bagley III	Tyrese Haliburton
Nicolas Batum	Marcus Morris Sr.	Reggie Jackson	Ivica Zubac	Amir Coffey
D'Angelo Russell	Karl-Anthony Towns	Malik Beasley	Anthony Edwards	Jaden McDaniels
Kyle Lowry	P.J. Tucker	Bam Adebayo	Duncan Robinson	Tyler Herro
Jonas Valanciunas	Brandon Ingram	Josh Hart	Devonte' Graham	Nickeil Alexander-Walker
Kemba Walker	Evan Fournier	Nerlens Noel	Julius Randle	RJ Barrett
Paul George	Reggie Jackson	Ivica Zubac	Luke Kennard	Terance Mann
Harrison Barnes	Damian Jones	De'Aaron Fox	Marvin Bagley III	Tyrese Haliburton
Bojan Bogdanovic	Rudy Gobert	Jordan Clarkson	Royce O'Neale	Donovan Mitchell
Jonas Valanciunas	Josh Hart	Devonte' Graham	Nickeil Alexander-Walker	Herbert Jones
Derrick Rose	Alec Burks	Mitchell Robinson	Obi Toppin	Immanuel Quickley
Patrick Beverley	Karl-Anthony Towns	Malik Beasley	Jarred Vanderbilt	Anthony Edwards
Nikola Vucevic	Zach LaVine	Derrick Jones Jr.	Lonzo Ball	Ayo Dosunmu
Carmelo Anthony	Russell Westbrook	Avery Bradley	Anthony Davis	Talen Horton-Tucker
Tristan Thompson	Harrison Barnes	Buddy Hield	Chimezie Metu	Tyrese Haliburton
Damian Lillard	Jusuf Nurkic	Norman Powell	Larry Nance Jr.	Nassir Little
Derrick Favors	Shai Gilgeous-Alexander	Luguentz Dort	Jeremiah Robinson-Earl	Josh Giddey
P.J. Tucker	Jimmy Butler	Dewayne Dedmon	Duncan Robinson	Tyler Herro
JaVale McGee	Devin Booker	Cameron Payne	Landry Shamet	Cameron Johnson
George Hill	Khris Middleton	Giannis Antetokounmpo	Pat Connaughton	Grayson Allen
P.J. Tucker	Jimmy Butler	Bam Adebayo	Duncan Robinson	Tyler Herro
Kyle Lowry	Jimmy Butler	Caleb Martin	Tyler Herro	Omer Yurtseven
Tristan Thompson	Harrison Barnes	Buddy Hield	De'Aaron Fox	Davion Mitchell
Eric Bledsoe	Marcus Morris Sr.	Ivica Zubac	Luke Kennard	Terance Mann
CJ McCollum	Cody Zeller	Larry Nance Jr.	Anfernee Simons	Nassir Little
Stephen Curry	Draymond Green	Otto Porter Jr.	Andrew Wiggins	Jordan Poole
Patrick Beverley	Karl-Anthony Towns	Malik Beasley	Anthony Edwards	Jaden McDaniels
Jeff Green	Austin Rivers	Aaron Gordon	Nikola Jokic	Monte Morris
Reggie Bullock	Tim Hardaway Jr.	Dwight Powell	Dorian Finney-Smith	Luka Doncic
Justin Holiday	Myles Turner	Domantas Sabonis	Caris LeVert	Chris Duarte
Eric Gordon	Christian Wood	Daniel Theis	Jalen Green	Jae'Sean Tate
Mike Conley	Hassan Whiteside	Bojan Bogdanovic	Royce O'Neale	Donovan Mitchell
Harrison Barnes	Richaun Holmes	De'Aaron Fox	Marvin Bagley III	Tyrese Haliburton
Steven Adams	Kyle Anderson	Jaren Jackson Jr.	Ja Morant	Desmond Bane
Spencer Dinwiddie	Montrezl Harrell	Aaron Holiday	Deni Avdija	Corey Kispert
Tim Hardaway Jr.	Dwight Powell	Kristaps Porzingis	Dorian Finney-Smith	Jalen Brunson
Davis Bertans	Spencer Dinwiddie	Montrezl Harrell	Aaron Holiday	Deni Avdija
Damian Lillard	Cody Zeller	Larry Nance Jr.	Anfernee Simons	Nassir Little
LeBron James	Russell Westbrook	DeAndre Jordan	Anthony Davis	Kent Bazemore
Wesley Matthews	Khris Middleton	Giannis Antetokounmpo	Bobby Portis	Jordan Nwora
Tobias Harris	Seth Curry	Joel Embiid	Furkan Korkmaz	Matisse Thybulle
Davis Bertans	Bradley Beal	Raul Neto	Montrezl Harrell	Deni Avdija
Khem Birch	Pascal Siakam	Fred VanVleet	Gary Trent Jr.	Scottie Barnes
Al Horford	Dennis Schroder	Jaylen Brown	Jayson Tatum	Robert Williams III
Patrick Beverley	D'Angelo Russell	Karl-Anthony Towns	Anthony Edwards	Jaden McDaniels
JaVale McGee	Cameron Payne	Mikal Bridges	Landry Shamet	Cameron Johnson
Marcus Morris Sr.	Reggie Jackson	Ivica Zubac	Luke Kennard	Terance Mann
Willy Hernangomez	Brandon Ingram	Josh Hart	Devonte' Graham	Herbert Jones
D'Angelo Russell	Karl-Anthony Towns	Josh Okogie	Anthony Edwards	Jaden McDaniels
Dennis Schroder	Marcus Smart	Jayson Tatum	Robert Williams III	Grant Williams
Rudy Gay	Rudy Gobert	Jordan Clarkson	Joe Ingles	Trent Forrest
Mike Muscala	Shai Gilgeous-Alexander	Darius Bazley	Luguentz Dort	Josh Giddey
T.J. McConnell	Myles Turner	Domantas Sabonis	Caris LeVert	Chris Duarte
Jrue Holiday	Khris Middleton	Giannis Antetokounmpo	Pat Connaughton	Grayson Allen
Damian Lillard	CJ McCollum	Robert Covington	Jusuf Nurkic	Nassir Little
Taj Gibson	Kemba Walker	Evan Fournier	Julius Randle	RJ Barrett
LaMarcus Aldridge	Kevin Durant	James Harden	Patty Mills	Bruce Brown
Bradley Beal	Kentavious Caldwell-Pope	Raul Neto	Montrezl Harrell	Kyle Kuzma
Derrick Walton Jr.	Hamidou Diallo	Saddiq Bey	Cassius Stanley	Luka Garza
Jusuf Nurkic	Norman Powell	Larry Nance Jr.	Anfernee Simons	Nassir Little
Eric Bledsoe	Luke Kennard	Isaiah Hartenstein	Terance Mann	Brandon Boston Jr.
Richaun Holmes	De'Aaron Fox	Chimezie Metu	Terence Davis	Tyrese Haliburton
Jarrett Culver	Killian Tillie	John Konchar	Xavier Tillman Sr.	Santi Aldama
Danny Green	Tobias Harris	Andre Drummond	Seth Curry	Tyrese Maxey
Patrick Beverley	Malik Beasley	Jarred Vanderbilt	Naz Reid	Anthony Edwards
Reggie Bullock	Dwight Powell	Kristaps Porzingis	Dorian Finney-Smith	Jalen Brunson
Reggie Bullock	Dwight Powell	Kristaps Porzingis	Dorian Finney-Smith	Luka Doncic
Paul George	Eric Bledsoe	Reggie Jackson	Ivica Zubac	Amir Coffey
Steven Adams	Kyle Anderson	Tyus Jones	Dillon Brooks	De'Anthony Melton
Ricky Rubio	Lauri Markkanen	Jarrett Allen	Darius Garland	Evan Mobley
Paul George	Eric Bledsoe	Luke Kennard	Isaiah Hartenstein	Terance Mann
Harrison Barnes	Alex Len	Buddy Hield	De'Aaron Fox	Davion Mitchell
Derrick Rose	Evan Fournier	Julius Randle	Mitchell Robinson	RJ Barrett
Mike Conley	Bojan Bogdanovic	Rudy Gobert	Joe Ingles	Royce O'Neale
Khem Birch	Fred VanVleet	OG Anunoby	Svi Mykhailiuk	Gary Trent Jr.
Harrison Barnes	Richaun Holmes	Buddy Hield	De'Aaron Fox	Davion Mitchell
Andre Iguodala	Stephen Curry	Nemanja Bjelica	Otto Porter Jr.	Gary Payton II
Will Barton	JaMychal Green	Aaron Gordon	Nikola Jokic	Monte Morris
Bradley Beal	Kentavious Caldwell-Pope	Kyle Kuzma	Daniel Gafford	Deni Avdija
Tristan Thompson	Buddy Hield	Marvin Bagley III	Tyrese Haliburton	Davion Mitchell
Russell Westbrook	DeAndre Jordan	Avery Bradley	Anthony Davis	Kent Bazemore
Reggie Bullock	Dwight Powell	Dorian Finney-Smith	Jalen Brunson	Luka Doncic
George Hill	Jrue Holiday	Giannis Antetokounmpo	Bobby Portis	Grayson Allen
Taj Gibson	Alec Burks	Evan Fournier	Julius Randle	RJ Barrett
Cory Joseph	Jerami Grant	Saddiq Bey	Isaiah Stewart	Cade Cunningham
Dejounte Murray	Jakob Poeltl	Keita Bates-Diop	Lonnie Walker IV	Joshua Primo
Khem Birch	Pascal Siakam	Fred VanVleet	OG Anunoby	Gary Trent Jr.
Dennis Schroder	Marcus Smart	Josh Richardson	Jayson Tatum	Robert Williams III
Gordon Hayward	Terry Rozier	Miles Bridges	Cody Martin	LaMelo Ball
Kentavious Caldwell-Pope	Spencer Dinwiddie	Kyle Kuzma	Aaron Holiday	Daniel Gafford
Derrick Rose	Alec Burks	Nerlens Noel	Obi Toppin	Immanuel Quickley
Terrence Ross	Wendell Carter Jr.	Chuma Okeke	Cole Anthony	Franz Wagner
Al Horford	Marcus Smart	Jaylen Brown	Jayson Tatum	Grant Williams
Kelly Oubre Jr.	Miles Bridges	Cody Martin	Jalen McDaniels	LaMelo Ball
Nikola Vucevic	Zach LaVine	Troy Brown Jr.	Coby White	Ayo Dosunmu
Stephen Curry	Nemanja Bjelica	Otto Porter Jr.	Gary Payton II	Juan Toscano-Anderson
Jarrett Allen	Collin Sexton	Darius Garland	Dean Wade	Evan Mobley
Damian Lillard	Tony Snell	Norman Powell	Larry Nance Jr.	Nassir Little
Danilo Gallinari	Clint Capela	Timothe Luwawu-Cabarrot	Kevin Huerter	Trae Young
Jerami Grant	Frank Jackson	Killian Hayes	Saddiq Bey	Isaiah Stewart
Danilo Gallinari	John Collins	Kevin Huerter	Trae Young	Cam Reddish
Terrence Ross	Mo Bamba	Wendell Carter Jr.	Cole Anthony	Franz Wagner
Shai Gilgeous-Alexander	Darius Bazley	Luguentz Dort	Jeremiah Robinson-Earl	Tre Mann
Austin Rivers	Will Barton	Aaron Gordon	Nikola Jokic	Facundo Campazzo
Carmelo Anthony	Russell Westbrook	Avery Bradley	Anthony Davis	Malik Monk
Dejounte Murray	Jakob Poeltl	Derrick White	Keita Bates-Diop	Keldon Johnson
Dewayne Dedmon	Caleb Martin	Gabe Vincent	Max Strus	Tyler Herro
Alec Burks	Evan Fournier	Nerlens Noel	Julius Randle	RJ Barrett
Robert Covington	Jusuf Nurkic	Norman Powell	Anfernee Simons	Nassir Little
Ricky Rubio	Lauri Markkanen	Jarrett Allen	Collin Sexton	Evan Mobley
Danny Green	Andre Drummond	Seth Curry	Furkan Korkmaz	Tyrese Maxey
Cory Joseph	Trey Lyles	Josh Jackson	Frank Jackson	Hamidou Diallo
Rudy Gay	Bojan Bogdanovic	Jordan Clarkson	Royce O'Neale	Donovan Mitchell
Rudy Gay	Hassan Whiteside	Jordan Clarkson	Joe Ingles	Donovan Mitchell
Steven Adams	Kyle Anderson	De'Anthony Melton	Ja Morant	Desmond Bane
Tobias Harris	Andre Drummond	Seth Curry	Georges Niang	Tyrese Maxey
LeBron James	Russell Westbrook	Avery Bradley	Anthony Davis	Talen Horton-Tucker
Ricky Rubio	Ed Davis	Darius Garland	Dean Wade	Isaac Okoro
Khem Birch	Fred VanVleet	OG Anunoby	Gary Trent Jr.	Scottie Barnes
Patrick Beverley	D'Angelo Russell	Karl-Anthony Towns	Malik Beasley	Jarred Vanderbilt
Jonas Valanciunas	Tomas Satoransky	Brandon Ingram	Josh Hart	Nickeil Alexander-Walker
Kevin Love	Ricky Rubio	Cedi Osman	Darius Garland	Evan Mobley
Reggie Bullock	Dwight Powell	Dorian Finney-Smith	Maxi Kleber	Jalen Brunson
D'Angelo Russell	Karl-Anthony Towns	Taurean Prince	Jarred Vanderbilt	Anthony Edwards
Danny Green	Tobias Harris	Seth Curry	Joel Embiid	Furkan Korkmaz
Bradley Beal	Kentavious Caldwell-Pope	Kyle Kuzma	Aaron Holiday	Daniel Gafford
Al Horford	Dennis Schroder	Marcus Smart	Jaylen Brown	Jayson Tatum
CJ McCollum	Robert Covington	Jusuf Nurkic	Norman Powell	Anfernee Simons
Mike Conley	Bojan Bogdanovic	Rudy Gobert	Joe Ingles	Donovan Mitchell
Lauri Markkanen	Jarrett Allen	Darius Garland	Dean Wade	Isaac Okoro
Kyle Anderson	Jaren Jackson Jr.	Ja Morant	Desmond Bane	Ziaire Williams
D'Angelo Russell	Malik Beasley	Taurean Prince	Naz Reid	Jaden McDaniels
Gordon Hayward	Mason Plumlee	Miles Bridges	Cody Martin	LaMelo Ball
Hassan Whiteside	Bojan Bogdanovic	Jordan Clarkson	Royce O'Neale	Trent Forrest
Kemba Walker	Alec Burks	Evan Fournier	Julius Randle	Mitchell Robinson
Fred VanVleet	OG Anunoby	Svi Mykhailiuk	Gary Trent Jr.	Precious Achiuwa
LeBron James	Russell Westbrook	Avery Bradley	Anthony Davis	Kent Bazemore
Chris Paul	Jae Crowder	Mikal Bridges	Deandre Ayton	Cameron Johnson
Jrue Holiday	Giannis Antetokounmpo	Bobby Portis	Pat Connaughton	Grayson Allen
Steven Adams	Kyle Anderson	De'Anthony Melton	Ja Morant	Ziaire Williams
Alec Burks	Evan Fournier	Julius Randle	Mitchell Robinson	Immanuel Quickley
Bradley Beal	Kentavious Caldwell-Pope	Montrezl Harrell	Kyle Kuzma	Aaron Holiday
Justin Holiday	T.J. McConnell	Myles Turner	Domantas Sabonis	Chris Duarte
Lou Williams	Danilo Gallinari	Delon Wright	John Collins	Cam Reddish
Dennis Schroder	Josh Richardson	Jayson Tatum	Robert Williams III	Grant Williams
Enes Kanter	Dennis Schroder	Josh Richardson	Jayson Tatum	Grant Williams
Robin Lopez	Gary Harris	Chuma Okeke	Cole Anthony	Franz Wagner
DeMar DeRozan	Nikola Vucevic	Alex Caruso	Lonzo Ball	Javonte Green
D.J. Augustin	Garrison Mathews	KJ Martin	Josh Christopher	Alperen Sengun
D'Angelo Russell	Karl-Anthony Towns	Malik Beasley	Jarred Vanderbilt	Anthony Edwards
Marcus Smart	Jaylen Brown	Jayson Tatum	Robert Williams III	Romeo Langford
Harrison Barnes	Alex Len	Buddy Hield	De'Aaron Fox	Tyrese Haliburton
Tobias Harris	Seth Curry	Joel Embiid	Furkan Korkmaz	Tyrese Maxey
JaVale McGee	Elfrid Payton	Cameron Payne	Landry Shamet	Cameron Johnson
Pascal Siakam	Fred VanVleet	Svi Mykhailiuk	Precious Achiuwa	Scottie Barnes
Jeff Green	Austin Rivers	Zeke Nnaji	Facundo Campazzo	Nah'Shon Hyland
Stephen Curry	Draymond Green	Andrew Wiggins	Kevon Looney	Gary Payton II
Gordon Hayward	Mason Plumlee	Terry Rozier	Miles Bridges	Cody Martin
Jeff Green	Aaron Gordon	Nikola Jokic	Monte Morris	Facundo Campazzo
Paul George	Marcus Morris Sr.	Reggie Jackson	Ivica Zubac	Luke Kennard
Jarrett Allen	Darius Garland	Dean Wade	Isaac Okoro	Evan Mobley
Draymond Green	Otto Porter Jr.	Andrew Wiggins	Gary Payton II	Jordan Poole
Tim Hardaway Jr.	Dorian Finney-Smith	Maxi Kleber	Jalen Brunson	Luka Doncic
JaVale McGee	Cameron Payne	Abdel Nader	Landry Shamet	Cameron Johnson
Thaddeus Young	Dejounte Murray	Lonnie Walker IV	Keldon Johnson	Devin Vassell
Tristan Thompson	Harrison Barnes	Maurice Harkless	Buddy Hield	Tyrese Haliburton
Nicolas Batum	Paul George	Reggie Jackson	Ivica Zubac	Terance Mann
Stephen Curry	Draymond Green	Andrew Wiggins	Juan Toscano-Anderson	Jordan Poole
Seth Curry	Joel Embiid	Georges Niang	Matisse Thybulle	Tyrese Maxey
Nicolas Batum	Eric Bledsoe	Luke Kennard	Isaiah Hartenstein	Terance Mann
George Hill	Jrue Holiday	Giannis Antetokounmpo	Pat Connaughton	Grayson Allen
Kyle Lowry	P.J. Tucker	Jimmy Butler	Dewayne Dedmon	Duncan Robinson
Jeff Green	Austin Rivers	JaMychal Green	PJ Dozier	Facundo Campazzo
Jeff Green	Aaron Gordon	Nikola Jokic	Monte Morris	Davon Reed
Gordon Hayward	Ish Smith	Kelly Oubre Jr.	Cody Martin	P.J. Washington
Kentavious Caldwell-Pope	Spencer Dinwiddie	Kyle Kuzma	Daniel Gafford	Corey Kispert
Danilo Gallinari	Bogdan Bogdanovic	John Collins	Kevin Huerter	Trae Young
LeBron James	Carmelo Anthony	Russell Westbrook	Anthony Davis	Malik Monk
Al Horford	Dennis Schroder	Josh Richardson	Romeo Langford	Grant Williams
Christian Wood	Kevin Porter Jr.	Jalen Green	Jae'Sean Tate	Alperen Sengun
Mason Plumlee	Kelly Oubre Jr.	Terry Rozier	Miles Bridges	LaMelo Ball
DeMar DeRozan	Zach LaVine	Derrick Jones Jr.	Alex Caruso	Lonzo Ball
Garrett Temple	Jonas Valanciunas	Tomas Satoransky	Josh Hart	Nickeil Alexander-Walker
Cory Joseph	Kelly Olynyk	Jerami Grant	Josh Jackson	Saddiq Bey
James Harden	James Johnson	Patty Mills	DeAndre' Bembry	Nicolas Claxton
Terrence Ross	Gary Harris	Mo Bamba	Chuma Okeke	Jalen Suggs
DeMar DeRozan	Nikola Vucevic	Zach LaVine	Lonzo Ball	Coby White
Gordon Hayward	Kelly Oubre Jr.	Miles Bridges	Cody Martin	P.J. Washington
Kyle Lowry	P.J. Tucker	Caleb Martin	Max Strus	Omer Yurtseven
Kevin Durant	Blake Griffin	James Harden	Patty Mills	Joe Harris
Jrue Holiday	Khris Middleton	Bobby Portis	Pat Connaughton	Grayson Allen
Tim Hardaway Jr.	Kristaps Porzingis	Dorian Finney-Smith	Jalen Brunson	Luka Doncic
Kemba Walker	Alec Burks	Evan Fournier	Nerlens Noel	Julius Randle
Stephen Curry	Otto Porter Jr.	Andrew Wiggins	Kevon Looney	Gary Payton II
Gordon Hayward	Kelly Oubre Jr.	Miles Bridges	Cody Martin	Nick Richards
Serge Ibaka	Eric Bledsoe	Marcus Morris Sr.	Reggie Jackson	Terance Mann
Lou Williams	Danilo Gallinari	Gorgui Dieng	Delon Wright	Cam Reddish
Patrick Beverley	Karl-Anthony Towns	Taurean Prince	Jarred Vanderbilt	Anthony Edwards
Jae Crowder	Devin Booker	Cameron Payne	Mikal Bridges	Deandre Ayton
