GROUP_SET	GROUP_ID	GROUP_NAME	TEAM_ID	TEAM_ABBREVIATION	GP	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	TOV	STL	BLK	BLKA	PF	PFD	PTS	PLUS_MINUS	GP_RANK	W_RANK	L_RANK	W_PCT_RANK	MIN_RANK	FGM_RANK	FGA_RANK	FG_PCT_RANK	FG3M_RANK	FG3A_RANK	FG3_PCT_RANK	FTM_RANK	FTA_RANK	FT_PCT_RANK	OREB_RANK	DREB_RANK	REB_RANK	AST_RANK	TOV_RANK	STL_RANK	BLK_RANK	BLKA_RANK	PF_RANK	PFD_RANK	PTS_RANK	PLUS_MINUS_RANK
Lineups	-201144-202711-203497-1626220-1628378-	M. Conley - B. Bogdanovic - R. Gobert - R. O'Neale - D. Mitchell	1610612762	UTA	29	22	7	0.759	462.105	417	824	0.506	164	394	0.416	184	237	0.776	89	344	433	232	126.0	71	51	38	151	210	1182	129.0	1	2	10235	3695	1	1	1	2829	1	1	2809	1	1	3017	1	1	1	2	10292	1	1	10292	10292	1	1	1
Lineups	-101108-203109-1626164-1628969-1629028-	C. Paul - J. Crowder - D. Booker - M. Bridges - D. Ayton	1610612756	PHX	23	18	5	0.783	444.15166666666664	409	821	0.498	112	286	0.392	119	143	0.832	71	323	394	253	108.0	70	31	31	166	142	1049	37.0	6	3	10116	3683	2	2	2	4207	2	2	3038	2	3	2761	3	2	2	1	10291	2	5	10288	10293	2	2	22
Lineups	-201939-203110-203952-1626172-1629673-	S. Curry - D. Green - A. Wiggins - K. Looney - J. Poole	1610612744	GSW	29	23	6	0.793	346.5966666666667	310	628	0.494	102	266	0.383	107	153	0.699	77	270	347	226	131.0	62	47	31	149	131	829	51.0	1	1	10196	3682	3	3	3	4215	3	3	3078	4	2	3520	2	3	3	3	10293	4	2	10288	10291	3	3	9
Lineups	-202689-203095-203944-1629011-1629628-	K. Walker - E. Fournier - J. Randle - M. Robinson - R. Barrett	1610612752	NYK	17	10	7	0.588	316.81166666666667	244	581	0.42	96	260	0.369	77	116	0.664	68	221	289	134	87.0	36	33	29	99	124	661	-73.0	17	19	10235	4270	4	7	5	5101	5	4	3175	9	6	3820	5	5	5	9	10290	11	4	10285	10286	5	7	10290
Lineups	-202330-203486-1626179-1628970-1630163-	G. Hayward - M. Plumlee - T. Rozier - M. Bridges - L. Ball	1610612766	CHA	25	14	11	0.56	309.14166666666665	285	623	0.457	97	253	0.383	66	96	0.688	66	229	295	188	71.0	64	19	26	121	92	733	3.0	4	7	10286	4303	5	5	4	4527	4	5	3079	13	11	3534	6	4	4	5	10285	3	19	10284	10289	8	5	1971
Lineups	-201145-203115-203932-203999-1628420-	J. Green - W. Barton - A. Gordon - N. Jokic - M. Morris	1610612743	DEN	17	9	8	0.529	296.1616666666667	286	532	0.538	76	185	0.411	93	118	0.788	37	220	257	202	69.0	34	23	30	83	112	741	63.0	17	33	10259	4320	6	4	6	2650	7	9	2818	5	5	2954	18	6	9	4	10284	13	11	10286	10284	6	4	5
Lineups	-202685-1627742-1628404-1628984-1630529-	J. Valanciunas - B. Ingram - J. Hart - D. Graham - H. Jones	1610612740	NOP	19	11	8	0.579	292.05	244	521	0.468	60	174	0.345	118	140	0.843	62	220	282	152	78.0	50	22	32	128	130	666	52.0	12	13	10259	4274	7	7	8	4384	10	11	3278	3	4	2613	7	6	6	7	10286	5	14	10291	10290	4	6	8
Lineups	-203078-203484-203915-1628398-1629655-	B. Beal - K. Caldwell-Pope - S. Dinwiddie - K. Kuzma - D. Gafford	1610612764	WAS	22	11	11	0.5	277.1016666666667	223	516	0.432	56	194	0.289	71	87	0.816	61	219	280	135	81.0	39	45	30	104	91	573	-35.0	7	13	10286	4322	8	9	9	4856	11	7	4112	11	13	2795	8	8	7	8	10288	7	3	10286	10287	9	9	10282
Lineups	-203081-203468-203496-203994-1626181-	D. Lillard - C. McCollum - R. Covington - J. Nurkic - N. Powell	1610612757	POR	17	9	8	0.529	274.2133333333333	249	531	0.469	85	229	0.371	77	107	0.72	56	208	264	158	68.0	50	31	22	90	102	660	7.0	17	33	10259	4320	9	6	7	4380	6	6	3169	9	8	3439	9	9	8	6	10283	5	5	10280	10285	7	8	770
Lineups	-203924-1630165-1630180-1630191-1630595-	J. Grant - K. Hayes - S. Bey - I. Stewart - C. Cunningham	1610612765	DET	15	4	11	0.267	231.86666666666667	169	441	0.383	55	161	0.342	61	74	0.824	71	159	230	108	80.0	32	27	31	105	67	454	-88.0	36	259	10286	5792	10	15	10	5706	13	12	3283	14	18	2766	3	13	10	12	10287	15	7	10288	10288	19	15	10292
Lineups	-1628983-1629647-1629652-1630526-1630581-	S. Gilgeous-Alexander - D. Bazley - L. Dort - J. Robinson-Earl - J. Giddey	1610612760	OKC	22	8	14	0.364	228.04333333333332	178	433	0.411	50	184	0.272	58	69	0.841	41	176	217	100	60.0	39	27	40	61	63	464	-73.0	7	53	10293	5453	11	13	11	5200	16	10	4257	17	20	2619	16	10	11	16	10279	7	7	10293	10273	20	14	10290
Lineups	-201980-202699-203552-203954-1630178-	D. Green - T. Harris - S. Curry - J. Embiid - T. Maxey	1610612755	PHI	14	7	7	0.5	221.25666666666666	183	396	0.462	56	151	0.371	83	101	0.822	32	171	203	99	46.0	30	23	25	75	87	505	62.0	47	82	10235	4322	12	11	13	4452	11	14	3170	7	9	2769	24	11	13	17	10269	19	11	10283	10280	12	11	6
Lineups	-203991-203992-1628381-1629027-1629631-	C. Capela - B. Bogdanovic - J. Collins - T. Young - D. Hunter	1610612737	ATL	11	3	8	0.273	214.45	200	401	0.499	50	116	0.431	58	80	0.725	49	148	197	114	54.0	27	14	21	80	86	508	5.0	76	445	10259	5791	13	10	12	4206	16	24	2678	17	14	3432	11	14	14	11	10277	21	30	10278	10282	13	10	1206
Lineups	-200752-201144-203497-203903-204060-	R. Gay - M. Conley - R. Gobert - J. Clarkson - J. Ingles	1610612762	UTA	22	18	4	0.818	203.09666666666666	173	373	0.464	72	187	0.385	81	99	0.818	51	164	215	104	61.0	23	18	10	65	91	499	84.0	7	3	9951	3619	14	14	14	4444	8	8	3047	8	10	2772	10	12	12	13	10280	26	20	10237	10276	9	12	4
Lineups	-202699-203552-203954-1629680-1630178-	T. Harris - S. Curry - J. Embiid - M. Thybulle - T. Maxey	1610612755	PHI	18	10	8	0.556	201.5	146	335	0.436	38	116	0.328	88	111	0.793	31	129	160	90	39.0	31	24	17	71	88	418	-48.0	14	19	10259	4304	15	20	17	4839	32	24	3990	6	7	2948	26	21	23	22	10259	16	10	10268	10277	11	17	10289
Lineups	-201976-1626156-1626157-1629020-1630162-	P. Beverley - D. Russell - K. Towns - J. Vanderbilt - A. Edwards	1610612750	MIN	16	11	5	0.688	186.56	183	349	0.524	62	154	0.403	57	76	0.75	46	128	174	103	52.0	37	20	18	78	73	485	125.0	25	13	10116	3846	16	11	16	2744	9	13	2833	19	16	3047	14	22	18	14	10275	10	16	10271	10281	17	13	2
Lineups	-200768-200782-202710-1628389-1629130-	K. Lowry - P. Tucker - J. Butler - B. Adebayo - D. Robinson	1610612748	MIA	14	9	5	0.643	185.31	147	329	0.447	41	140	0.293	59	76	0.776	37	140	177	96	50.0	38	6	11	80	78	394	37.0	47	33	10116	4179	17	19	18	4662	25	15	4106	16	16	3018	18	17	16	18	10274	9	110	10243	10282	14	18	22
Lineups	-203926-1627749-1627751-1628401-1629640-	D. McDermott - D. Murray - J. Poeltl - D. White - K. Johnson	1610612759	SAS	15	7	8	0.467	179.74	165	367	0.45	39	121	0.322	54	77	0.701	47	127	174	117	38.0	34	17	17	60	62	423	7.0	36	82	10259	5327	18	16	15	4647	29	20	4003	22	15	3497	13	24	18	10	10258	13	24	10268	10271	22	16	770
Lineups	-1626174-1628464-1629645-1630224-1630256-	C. Wood - D. Theis - K. Porter Jr. - J. Green - J. Tate	1610612745	HOU	13	1	12	0.077	171.88333333333333	111	290	0.383	38	121	0.314	40	60	0.667	37	135	172	63	83.0	30	14	24	74	70	300	-95.0	58	1801	10291	5956	19	37	26	5707	32	20	4023	33	26	3548	18	20	20	39	10289	19	30	10281	10279	18	36	10293
Lineups	-201142-201933-201935-203925-1628971-	K. Durant - B. Griffin - J. Harden - J. Harris - B. Brown	1610612751	BKN	11	9	2	0.818	171.10833333333332	140	304	0.461	53	138	0.384	48	59	0.814	24	136	160	101	61.0	31	7	15	64	77	381	20.0	76	33	8532	3619	20	21	21	4500	14	16	3076	26	27	2799	38	19	23	15	10280	16	86	10261	10275	15	20	87
Lineups	-203115-203932-203999-1628420-1629008-	W. Barton - A. Gordon - N. Jokic - M. Morris - M. Porter Jr.	1610612743	DEN	9	5	4	0.556	169.91666666666666	156	305	0.511	36	109	0.33	28	44	0.636	28	141	169	96	64.0	24	11	9	53	63	376	37.0	150	165	9951	4304	21	17	20	2811	37	28	3989	56	42	3829	29	16	21	18	10282	24	42	10232	10266	20	22	22
Lineups	-201587-202331-202339-202704-1627826-	N. Batum - P. George - E. Bledsoe - R. Jackson - I. Zubac	1610612746	LAC	13	9	4	0.692	166.76833333333335	139	304	0.457	44	126	0.349	53	62	0.855	24	124	148	84	54.0	31	16	10	51	60	375	-30.0	58	33	9951	3844	22	23	21	4529	20	17	3269	25	25	2590	38	25	26	26	10277	16	26	10237	10263	23	23	10274
Lineups	-1628964-1628976-1630175-1630532-1630591-	M. Bamba - W. Carter Jr. - C. Anthony - F. Wagner - J. Suggs	1610612753	ORL	15	4	11	0.267	163.06666666666666	136	309	0.44	48	126	0.381	40	54	0.741	45	138	183	71	53.0	22	20	18	71	58	360	39.0	36	259	10286	5792	23	27	19	4784	18	17	3085	33	30	3399	15	18	15	32	10276	29	16	10271	10277	24	27	17
Lineups	-201950-203114-203507-1626171-1628960-	J. Holiday - K. Middleton - G. Antetokounmpo - B. Portis - G. Allen	1610612749	MIL	16	13	3	0.813	157.18333333333334	140	298	0.47	43	126	0.341	47	64	0.734	32	145	177	89	41.0	23	18	12	47	50	370	15.0	25	9	9587	3623	24	21	23	4376	22	17	3284	27	24	3406	24	15	16	23	10261	26	20	10251	10259	32	24	172
Lineups	-201942-202696-203897-1628366-1629750-	D. DeRozan - N. Vucevic - Z. LaVine - L. Ball - J. Green	1610612741	CHI	13	8	5	0.615	152.355	134	287	0.467	52	103	0.505	31	37	0.838	25	118	143	88	43.0	22	10	19	54	40	351	6.0	58	53	10116	4199	25	28	27	4387	15	33	1423	47	55	2623	36	27	31	24	10264	29	50	10276	10267	46	29	965
