GROUP_SET	GROUP_ID	GROUP_NAME	TEAM_ID	TEAM_ABBREVIATION	GP	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	TOV	STL	BLK	BLKA	PF	PFD	PTS	PLUS_MINUS	GP_RANK	W_RANK	L_RANK	W_PCT_RANK	MIN_RANK	FGM_RANK	FGA_RANK	FG_PCT_RANK	FG3M_RANK	FG3A_RANK	FG3_PCT_RANK	FTM_RANK	FTA_RANK	FT_PCT_RANK	OREB_RANK	DREB_RANK	REB_RANK	AST_RANK	TOV_RANK	STL_RANK	BLK_RANK	BLKA_RANK	PF_RANK	PFD_RANK	PTS_RANK	PLUS_MINUS_RANK
Lineups	-201144-202711-203497-1626220-1628378-	M. Conley - B. Bogdanovic - R. Gobert - R. O'Neale - D. Mitchell	1610612762	UTA	27	20	7	0.741	427.48833333333334	383	764	0.501	146	362	0.403	174	223	0.78	84	318	402	212	117.0	67	45	38	137	195	1086	112.0	1	2	8694	3256	1	1	1	2415	1	1	2410	1	1	2496	1	1	1	2	8737	1	2	8738	8736	1	1	2
Lineups	-101108-203109-1626164-1628969-1629028-	C. Paul - J. Crowder - D. Booker - M. Bridges - D. Ayton	1610612756	PHX	19	15	4	0.789	381.59833333333336	355	717	0.495	89	235	0.379	97	117	0.829	64	286	350	212	88.0	55	26	27	143	123	896	26.0	7	6	8453	3151	2	2	2	3582	4	4	2624	3	3	2324	5	2	2	2	8736	3	8	8732	8737	4	2	40
Lineups	-201939-203110-203952-1626172-1629673-	S. Curry - D. Green - A. Wiggins - K. Looney - J. Poole	1610612744	GSW	27	22	5	0.815	340.83	303	615	0.493	101	264	0.383	104	149	0.698	77	266	343	220	130.0	61	46	29	147	128	811	50.0	1	1	8597	3099	3	3	3	3587	2	2	2612	2	2	2953	2	3	3	1	8738	2	1	8734	8738	2	3	7
Lineups	-202689-203095-203944-1629011-1629628-	K. Walker - E. Fournier - J. Randle - M. Robinson - R. Barrett	1610612752	NYK	17	10	7	0.588	316.81166666666667	244	581	0.42	96	260	0.369	77	116	0.664	68	221	289	134	87.0	36	33	29	99	124	661	-73.0	13	13	8694	3627	4	5	4	4317	3	3	2695	6	4	3194	4	4	4	6	8735	8	4	8734	8734	3	4	8735
Lineups	-203081-203468-203496-203994-1626181-	D. Lillard - C. McCollum - R. Covington - J. Nurkic - N. Powell	1610612757	POR	17	9	8	0.529	274.2133333333333	249	531	0.469	85	229	0.371	77	107	0.72	56	208	264	158	68.0	50	31	22	90	102	660	7.0	13	22	8710	3664	5	4	5	3714	5	5	2689	6	5	2882	6	5	5	5	8731	4	5	8728	8732	5	5	658
Lineups	-201145-203115-203932-203999-1628420-	J. Green - W. Barton - A. Gordon - N. Jokic - M. Morris	1610612743	DEN	13	6	7	0.462	250.61166666666668	238	452	0.527	61	156	0.391	82	103	0.796	34	184	218	167	60.0	26	21	26	73	95	619	38.0	46	104	8694	4543	6	6	7	2324	8	11	2583	4	6	2472	22	7	8	4	8728	21	11	8731	8726	6	6	15
Lineups	-203078-203484-203915-1628398-1629655-	B. Beal - K. Caldwell-Pope - S. Dinwiddie - K. Kuzma - D. Gafford	1610612764	WAS	20	10	10	0.5	242.65833333333333	185	447	0.414	47	174	0.27	63	77	0.818	51	190	241	115	71.0	34	41	28	94	79	480	-55.0	5	13	8729	3666	7	9	8	4379	16	9	3615	11	12	2334	7	6	6	9	8732	11	3	8733	8733	10	10	8734
Lineups	-203924-1630165-1630180-1630191-1630595-	J. Grant - K. Hayes - S. Bey - I. Stewart - C. Cunningham	1610612765	DET	15	4	11	0.267	231.86666666666667	169	441	0.383	55	161	0.342	61	74	0.824	71	159	230	108	80.0	32	27	31	105	67	454	-88.0	26	219	8734	4924	8	11	9	4826	10	10	2782	12	15	2327	3	12	7	11	8734	13	6	8736	8735	16	12	8737
Lineups	-202330-203486-1626179-1628970-1630163-	G. Hayward - M. Plumlee - T. Rozier - M. Bridges - L. Ball	1610612766	CHA	19	10	9	0.526	225.36166666666668	194	455	0.426	68	189	0.36	48	70	0.686	49	164	213	128	51.0	48	16	19	80	69	504	-24.0	7	13	8720	3665	9	8	6	4278	6	6	2739	23	16	2970	8	10	9	7	8721	5	22	8721	8728	15	8	8708
Lineups	-201980-202699-203552-203954-1630178-	D. Green - T. Harris - S. Curry - J. Embiid - T. Maxey	1610612755	PHI	13	7	6	0.538	220.42333333333335	182	393	0.463	56	150	0.373	82	100	0.82	31	169	200	99	46.0	30	23	24	75	86	502	59.0	46	70	8666	3662	10	10	12	3756	9	12	2686	4	7	2333	23	8	12	13	8719	16	9	8729	8727	7	9	5
