GROUP_SET	GROUP_ID	GROUP_NAME	TEAM_ID	TEAM_ABBREVIATION	GP	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	TOV	STL	BLK	BLKA	PF	PFD	PTS	PLUS_MINUS	GP_RANK	W_RANK	L_RANK	W_PCT_RANK	MIN_RANK	FGM_RANK	FGA_RANK	FG_PCT_RANK	FG3M_RANK	FG3A_RANK	FG3_PCT_RANK	FTM_RANK	FTA_RANK	FT_PCT_RANK	OREB_RANK	DREB_RANK	REB_RANK	AST_RANK	TOV_RANK	STL_RANK	BLK_RANK	BLKA_RANK	PF_RANK	PFD_RANK	PTS_RANK	PLUS_MINUS_RANK
Lineups	-201580-1626164-1626166-1629013-1629661-	J. McGee - D. Booker - C. Payne - L. Shamet - C. Johnson	1610612756	PHX	13	11	2	0.846	52.60333333333333	43	103	0.417	14	44	0.318	23	28	0.821	16	44	60	26	21.0	11	3	6	21	27	123	16.0	51	11	7843	3346	104	109	97	4674	110	85	3667	72	75	2522	71	88	78	111	9349	72	298	9304	9313	74	103	128
Lineups	-203994-1626181-1626204-1629014-1629642-	J. Nurkic - N. Powell - L. Nance Jr. - A. Simons - N. Little	1610612757	POR	2	1	1	0.5	42.38333333333333	41	77	0.532	15	34	0.441	26	33	0.788	12	25	37	19	7.0	8	4	0	16	23	123	12.0	1728	1598	3321	3975	148	122	152	2472	93	132	2446	57	60	2680	104	208	165	192	8971	128	185	1	9241	96	103	258
Lineups	-202689-203095-203457-203944-1629628-	K. Walker - E. Fournier - N. Noel - J. Randle - R. Barrett	1610612752	NYK	6	3	3	0.5	56.13166666666667	46	97	0.474	15	35	0.429	15	19	0.789	8	48	56	27	20.0	6	5	5	27	22	122	1.0	315	392	8797	3975	95	103	105	3974	93	125	2465	151	153	2677	193	73	85	107	9341	202	134	9249	9343	101	105	3084
Lineups	-201939-203110-203490-203952-1629673-	S. Curry - D. Green - O. Porter Jr. - A. Wiggins - J. Poole	1610612744	GSW	13	10	3	0.769	50.51166666666666	40	88	0.455	20	49	0.408	22	28	0.786	6	31	37	25	21.0	15	2	3	27	22	122	14.0	51	15	8797	3432	111	128	116	4158	69	74	2589	78	75	2681	299	144	165	119	9349	46	498	8943	9343	101	105	176
Lineups	-203081-203994-1626181-1626204-1629642-	D. Lillard - J. Nurkic - N. Powell - L. Nance Jr. - N. Little	1610612757	POR	5	2	3	0.4	53.18333333333333	44	88	0.5	17	38	0.447	16	21	0.762	9	43	52	25	21.0	4	6	3	24	17	121	-7.0	434	712	8797	4914	103	106	116	2604	78	104	2407	133	124	2764	164	89	100	119	9349	359	98	8943	9330	160	107	8621
Lineups	-203081-203469-1626204-1629014-1629642-	D. Lillard - C. Zeller - L. Nance Jr. - A. Simons - N. Little	1610612757	POR	17	10	7	0.588	47.575	47	85	0.553	15	35	0.429	11	16	0.688	11	40	51	29	16.0	4	3	5	18	15	120	22.0	13	15	9369	3930	126	100	128	2324	93	125	2465	256	205	3202	111	97	104	95	9304	359	298	9249	9271	189	108	61
Lineups	-202696-203897-1627884-1628366-1630245-	N. Vucevic - Z. LaVine - D. Jones Jr. - L. Ball - A. Dosunmu	1610612741	CHI	6	5	1	0.833	53.888333333333335	49	103	0.476	10	34	0.294	11	14	0.786	12	35	47	30	12.0	10	7	3	19	18	119	3.0	315	149	3321	3347	100	96	97	3968	188	132	3749	256	250	2681	104	117	120	89	9220	85	78	8943	9288	143	109	1804
Lineups	-202711-203497-203903-1626220-1628378-	B. Bogdanovic - R. Gobert - J. Clarkson - R. O'Neale - D. Mitchell	1610612762	UTA	20	13	7	0.65	50.95166666666667	41	97	0.423	14	53	0.264	22	32	0.688	18	39	57	20	16.0	11	9	3	20	27	118	10.0	8	7	9369	3848	110	122	105	4646	110	67	3897	78	63	3202	56	102	82	173	9304	72	54	8943	9305	74	110	357
Lineups	-200782-202710-203473-1629130-1629639-	P. Tucker - J. Butler - D. Dedmon - D. Robinson - T. Herro	1610612748	MIA	14	8	6	0.571	46.388333333333335	41	80	0.513	10	27	0.37	26	27	0.963	12	30	42	26	13.0	6	2	5	19	19	118	15.0	40	46	9336	3934	131	122	144	2579	188	184	2904	57	82	2163	104	151	136	111	9252	202	498	9249	9288	127	110	150
Lineups	-201976-1626156-1626157-1630162-1630183-	P. Beverley - D. Russell - K. Towns - A. Edwards - J. McDaniels	1610612750	MIN	9	5	4	0.556	46.21333333333333	42	82	0.512	11	31	0.355	23	27	0.852	7	29	36	27	17.0	8	8	6	31	19	118	1.0	128	149	9108	3958	132	113	141	2580	160	154	2975	72	82	2368	231	162	171	107	9322	128	62	9304	9361	127	110	3084
Lineups	-202339-202694-1627826-1628379-1629611-	E. Bledsoe - M. Morris Sr. - I. Zubac - L. Kennard - T. Mann	1610612746	LAC	5	2	3	0.4	51.306666666666665	40	91	0.44	17	35	0.486	20	24	0.833	17	26	43	22	14.0	5	2	6	27	18	117	-8.0	434	712	8797	4914	108	128	111	4392	78	125	2340	91	100	2394	64	191	133	141	9270	259	498	9304	9343	143	113	8799
Lineups	-202684-203084-1627741-1628368-1630558-	T. Thompson - H. Barnes - B. Hield - D. Fox - D. Mitchell	1610612758	SAC	15	7	8	0.467	49.56666666666667	38	76	0.5	13	32	0.406	28	38	0.737	7	26	33	19	19.0	7	2	4	23	25	117	-24.0	29	72	9389	4880	114	138	157	2604	133	149	2590	51	48	3081	231	191	203	192	9335	156	498	9152	9321	85	113	9389
Lineups	-201580-1626166-1628969-1629013-1629661-	J. McGee - C. Payne - M. Bridges - L. Shamet - C. Johnson	1610612756	PHX	11	10	1	0.909	45.678333333333335	44	90	0.489	17	34	0.5	12	16	0.75	15	34	49	31	17.0	7	2	0	18	17	117	19.0	71	15	3321	3321	133	106	113	3885	78	132	1319	226	205	2768	79	125	110	84	9322	156	498	1	9271	160	113	84
Lineups	-201950-203114-203507-1626192-1628960-	J. Holiday - K. Middleton - G. Antetokounmpo - P. Connaughton - G. Allen	1610612749	MIL	14	12	2	0.857	43.31	40	75	0.533	14	29	0.483	23	28	0.821	4	32	36	23	15.0	8	6	4	14	24	117	10.0	40	10	7843	3335	142	128	160	2448	110	174	2344	72	75	2522	531	139	171	131	9291	128	98	9152	9199	90	113	357
Lineups	-203084-1627745-1628368-1628963-1630169-	H. Barnes - D. Jones - D. Fox - M. Bagley III - T. Haliburton	1610612758	SAC	8	3	5	0.375	55.68	42	99	0.424	10	31	0.323	20	27	0.741	15	40	55	27	17.0	6	2	7	20	22	114	-17.0	165	392	9265	4981	98	113	101	4630	188	154	3657	91	82	3077	79	97	90	107	9322	202	498	9329	9305	101	117	9325
Lineups	-203488-1628983-1629647-1629652-1630581-	M. Muscala - S. Gilgeous-Alexander - D. Bazley - L. Dort - J. Giddey	1610612760	OKC	9	7	2	0.778	40.55833333333333	42	75	0.56	14	34	0.412	16	18	0.889	4	28	32	28	8.0	7	6	1	12	15	114	3.0	128	72	7843	3425	166	113	160	2231	110	132	2576	133	167	2228	531	174	211	102	9057	156	98	6530	9132	189	117	1804
Lineups	-201937-1628374-1628386-1629636-1630596-	R. Rubio - L. Markkanen - J. Allen - D. Garland - E. Mobley	1610612739	CLE	13	9	4	0.692	41.33833333333333	44	79	0.557	8	20	0.4	16	23	0.696	11	30	41	26	7.0	9	4	6	14	24	112	38.0	51	27	9108	3560	159	106	147	2241	275	297	2599	133	105	3192	111	151	139	111	8971	99	185	9304	9199	90	119	16
Lineups	-1626156-1626157-1627736-1630162-1630183-	D. Russell - K. Towns - M. Beasley - A. Edwards - J. McDaniels	1610612750	MIN	13	8	5	0.615	49.93833333333333	40	98	0.408	12	39	0.308	19	22	0.864	15	33	48	21	14.0	13	6	6	13	19	111	8.0	51	46	9265	3867	113	128	104	4776	148	102	3691	99	112	2309	79	134	113	156	9270	55	98	9304	9183	127	120	570
