GROUP_SET	GROUP_ID	GROUP_NAME	TEAM_ID	TEAM_ABBREVIATION	GP	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	TOV	STL	BLK	BLKA	PF	PFD	PTS	PLUS_MINUS	GP_RANK	W_RANK	L_RANK	W_PCT_RANK	MIN_RANK	FGM_RANK	FGA_RANK	FG_PCT_RANK	FG3M_RANK	FG3A_RANK	FG3_PCT_RANK	FTM_RANK	FTA_RANK	FT_PCT_RANK	OREB_RANK	DREB_RANK	REB_RANK	AST_RANK	TOV_RANK	STL_RANK	BLK_RANK	BLKA_RANK	PF_RANK	PFD_RANK	PTS_RANK	PLUS_MINUS_RANK
Lineups	-203078-203526-1626149-1628398-1630166-	B. Beal - R. Neto - M. Harrell - K. Kuzma - D. Avdija	1610612764	WAS	17	7	10	0.412	66.15	61	107	0.57	13	37	0.351	15	22	0.682	6	57	63	41	26.0	11	4	4	18	23	150	1.0	27	98	11141	5874	98	87	112	2570	161	141	3544	188	149	3873	377	74	91	76	11097	92	235	10822	10970	122	97	3673
Lineups	-203914-1628964-1628976-1630532-1630591-	G. Harris - M. Bamba - W. Carter Jr. - F. Wagner - J. Suggs	1610612753	ORL	7	0	7	0.0	65.20666666666666	55	120	0.458	17	46	0.37	17	23	0.739	10	62	72	30	16.0	5	7	8	25	24	144	2.0	296	6537	11087	6537	99	99	100	4905	102	106	3450	153	142	3719	178	67	77	117	11018	324	99	11075	11055	111	104	2773
Lineups	-204001-1627827-1628467-1628973-1629029-	K. Porzingis - D. Finney-Smith - M. Kleber - J. Brunson - L. Doncic	1610612742	DAL	7	5	2	0.714	65.13333333333334	51	117	0.436	16	51	0.314	26	28	0.929	13	57	70	32	18.0	7	9	2	23	24	144	4.0	296	188	9184	4123	100	110	104	5260	114	89	4382	69	100	2576	121	74	78	107	11053	200	67	9845	11039	111	104	1695
Lineups	-201942-202696-203897-1627884-1628366-	D. DeRozan - N. Vucevic - Z. LaVine - D. Jones Jr. - L. Ball	1610612741	CHI	7	5	2	0.714	64.985	52	130	0.4	17	52	0.327	23	24	0.958	14	49	63	31	9.0	11	4	5	26	20	144	-2.0	296	188	9184	4123	101	109	88	5704	102	87	4351	96	132	2559	111	90	91	112	10779	92	235	10948	11062	149	104	6956
Lineups	-101108-1626164-1628969-1629661-1630188-	C. Paul - D. Booker - M. Bridges - C. Johnson - J. Smith	1610612756	PHX	6	4	2	0.667	64.72833333333334	67	137	0.489	21	45	0.467	22	26	0.846	19	47	66	44	13.0	10	5	4	29	30	177	17.0	413	299	9184	4153	102	75	78	4577	79	109	2778	105	114	2839	64	99	85	72	10956	110	174	10822	11076	81	79	140
Lineups	-201942-202696-203897-1628366-1630172-	D. DeRozan - N. Vucevic - Z. LaVine - L. Ball - P. Williams	1610612741	CHI	5	4	1	0.8	63.375	53	128	0.414	14	43	0.326	13	14	0.929	9	59	68	34	11.0	8	6	6	9	16	133	14.0	589	299	3840	3907	103	104	92	5628	141	117	4353	240	316	2576	211	71	83	100	10878	163	130	11013	10560	220	124	220
Lineups	-203471-203935-1627759-1628369-1629057-	D. Schroder - M. Smart - J. Brown - J. Tatum - R. Williams III	1610612738	BOS	10	5	5	0.5	63.24333333333333	51	121	0.421	16	48	0.333	31	41	0.756	18	48	66	30	15.0	10	11	5	27	35	149	21.0	130	188	10937	4704	104	110	98	5520	114	101	3571	53	53	3329	71	94	85	117	11003	110	45	10948	11065	66	98	87
Lineups	-201959-202692-1629656-1630167-1630193-	T. Gibson - A. Burks - Q. Grimes - O. Toppin - I. Quickley	1610612752	NYK	12	5	7	0.417	63.031666666666666	45	98	0.459	20	49	0.408	13	15	0.867	13	42	55	23	18.0	11	3	6	25	17	123	13.0	83	188	11087	5871	105	137	132	4902	87	95	3074	240	284	2738	121	115	113	177	11053	92	369	11013	11055	201	137	270
Lineups	-202685-1628404-1628984-1629638-1630529-	J. Valanciunas - J. Hart - D. Graham - N. Alexander-Walker - H. Jones	1610612740	NOP	13	7	6	0.538	63.016666666666666	71	129	0.55	18	43	0.419	21	27	0.778	16	48	64	50	13.0	11	4	5	20	20	181	32.0	67	98	11038	4696	106	68	91	2738	96	117	3026	114	110	3249	87	94	89	55	10956	92	235	10948	11013	149	74	38
Lineups	-201980-202699-203552-203954-1629003-	D. Green - T. Harris - S. Curry - J. Embiid - S. Milton	1610612755	PHI	8	4	4	0.5	62.553333333333335	51	100	0.51	14	39	0.359	21	25	0.84	2	47	49	23	14.0	6	10	3	23	19	137	-5.0	224	299	10752	4704	107	110	126	3066	141	131	3502	114	125	2864	1544	99	136	177	10983	252	55	10552	11039	167	118	9407
