PLAYER_ID	PLAYER_NAME	TEAM_ABBREVIATION	PTS	AST	REB	STL	BLK	DREB	OREB	TO	FGA	FGM	FG3M	FG3A	FTM	FTA	G
1629726	Garrison Mathews	HOU	469	43	139	28	14	115	24	29	321	132	99	267	106	131	41
1630256	Jae'Sean Tate	HOU	708	171	312	53	33	216	96	109	544	276	42	147	114	159	56
1626174	Christian Wood	HOU	947	120	550	42	51	457	93	101	717	347	99	266	154	250	54
1630224	Jalen Green	HOU	627	100	134	26	8	118	16	96	540	209	83	267	126	154	43
203471	Dennis Schroder	HOU	740	231	176	44	6	145	31	115	617	269	70	204	132	155	52
1630231	Kenyon Martin Jr.	HOU	473	72	214	24	26	151	63	42	365	192	32	102	57	88	55
1630528	Josh Christopher	HOU	370	87	107	42	7	70	37	70	310	140	39	121	51	66	50
1630578	Alperen Sengun	HOU	437	125	240	40	47	156	84	102	320	154	18	65	111	159	50
1628021	David Nwaba	HOU	193	30	140	24	18	104	36	18	152	71	10	39	41	57	38
1628981	Bruno Fernando	HOU	29	4	21	0	3	11	10	7	22	11	1	2	6	8	22
1630586	Usman Garuba	HOU	19	8	34	7	6	25	9	3	24	8	2	13	1	2	15
201587	Nicolas Batum	LAC	353	61	179	40	29	160	19	29	265	129	79	189	16	24	40
202694	Marcus Morris Sr.	LAC	583	78	173	20	10	153	20	45	483	212	76	196	83	98	36
1627826	Ivica Zubac	LAC	534	77	442	25	53	297	145	79	317	206	0	0	122	171	55
1629611	Terance Mann	LAC	631	142	312	42	8	234	78	61	508	246	58	161	81	109	60
202704	Reggie Jackson	LAC	944	259	196	42	10	169	27	124	909	359	130	400	96	115	57
1628392	Isaiah Hartenstein	LAC	348	87	207	35	53	136	71	53	235	146	4	9	52	78	47
1628379	Luke Kennard	LAC	591	113	174	33	5	162	12	43	457	204	137	306	46	52	50
1629599	Amir Coffey	LAC	403	78	142	25	10	120	22	28	292	134	65	171	70	79	48
203496	Robert Covington	LAC	420	75	304	83	68	254	50	66	376	147	86	253	40	49	55
1630527	Brandon Boston Jr.	LAC	274	36	94	22	11	81	13	26	264	98	28	94	50	59	41
1628400	Semi Ojeleye	LAC	64	5	60	5	5	34	26	7	77	20	12	44	12	16	22
203918	Rodney Hood	LAC	129	31	68	12	4	55	13	7	132	46	24	80	13	14	41
202699	Tobias Harris	PHI	914	179	359	30	32	304	55	86	737	357	57	165	143	168	49
1627777	Georges Niang	PHI	510	82	147	21	10	126	21	45	416	180	106	267	44	51	54
203954	Joel Embiid	PHI	1361	207	514	47	66	423	91	137	887	439	62	168	421	518	46
1629680	Matisse Thybulle	PHI	242	50	97	77	47	74	23	28	200	98	30	105	16	23	43
1630178	Tyrese Maxey	PHI	862	236	180	33	26	161	19	60	685	321	71	182	149	171	51
201980	Danny Green	PHI	257	41	96	41	29	77	19	35	223	89	70	186	9	10	40
1627788	Furkan Korkmaz	PHI	454	116	154	31	7	138	16	42	412	163	68	228	60	72	51
200794	Paul Millsap	PHI	95	26	96	5	11	63	33	12	95	37	8	31	13	19	26
1629003	Shake Milton	PHI	308	88	96	21	12	77	19	37	283	118	25	84	47	54	31
1629646	Charles Bassey	PHI	69	7	62	5	17	40	22	8	47	30	0	4	9	12	23
1629718	Charlie Brown Jr.	PHI	30	6	32	10	4	18	14	5	39	10	1	12	9	10	19
1630198	Isaiah Joe	PHI	156	28	46	11	2	41	5	15	142	50	36	109	20	21	41
1630194	Paul Reed	PHI	58	10	65	19	12	34	31	8	60	27	0	4	4	10	24
203114	Khris Middleton	MIL	932	253	264	57	13	234	30	141	721	316	109	306	191	216	48
203507	Giannis Antetokounmpo	MIL	1443	296	551	48	68	457	94	162	906	496	58	188	393	545	49
1626171	Bobby Portis	MIL	782	66	465	39	41	333	132	74	637	307	97	241	71	94	51
1629670	Jordan Nwora	MIL	381	46	170	23	13	139	31	44	361	148	67	182	18	23	46
201950	Jrue Holiday	MIL	851	309	216	69	24	170	46	127	667	338	87	214	88	116	47
201586	Serge Ibaka	MIL	252	39	168	8	27	127	41	35	209	102	26	69	22	32	38
202083	Wesley Matthews	MIL	147	20	55	13	5	40	15	11	133	54	33	97	6	10	30
1629623	Lindell Wigginton	MIL	44	7	15	3	1	14	1	6	26	14	7	13	9	13	10
1630572	Sandro Mamukelashvili	MIL	102	16	60	7	7	32	28	10	85	39	15	39	9	12	34
203648	Thanasis Antetokounmpo	MIL	98	19	78	13	9	47	31	20	86	41	1	11	15	24	37
1627761	DeAndre' Bembry	MIL	278	60	152	47	25	114	38	30	213	121	15	36	21	35	48
1630182	Josh Green	DAL	193	58	95	29	9	64	31	20	155	78	12	39	25	35	44
1627827	Dorian Finney-Smith	DAL	588	110	278	70	29	187	91	63	489	216	111	298	45	66	58
203939	Dwight Powell	DAL	434	66	260	29	25	141	119	45	251	163	12	31	96	129	59
1628973	Jalen Brunson	DAL	943	314	222	51	3	189	33	101	746	375	67	180	126	155	58
1629029	Luka Doncic	DAL	1212	395	404	50	22	366	38	194	953	428	122	364	234	320	44
203915	Spencer Dinwiddie	DAL	568	262	213	29	7	176	37	73	502	190	71	231	117	149	46
1628467	Maxi Kleber	DAL	334	46	251	21	44	198	53	31	260	113	71	191	37	48	42
202722	Davis Bertans	DAL	209	18	66	11	6	59	7	14	186	65	50	158	29	31	36
1628425	Sterling Brown	DAL	139	30	128	12	5	106	22	21	128	51	27	79	10	11	38
203504	Trey Burke	DAL	181	46	28	10	0	25	3	21	171	71	23	69	16	17	32
1626246	Boban Marjanovic	DAL	81	2	30	0	2	23	7	11	57	36	1	3	8	16	17
1628373	Frank Ntilikina	DAL	201	54	63	24	6	56	7	26	190	72	34	100	23	24	47
1627742	Brandon Ingram	NOP	993	241	256	29	22	225	31	119	817	366	66	198	195	239	45
1629637	Jaxson Hayes	NOP	407	23	185	18	34	117	68	34	238	154	7	26	92	120	47
