player1	player2	player3	player4	player5
Chris Paul	Devin Booker	Mikal Bridges	Cameron Johnson	Jalen Smith
Gordon Hayward	Mason Plumlee	Kelly Oubre Jr.	Miles Bridges	LaMelo Ball
Lou Williams	Danilo Gallinari	Clint Capela	Delon Wright	Cam Reddish
DeMar DeRozan	Zach LaVine	Alex Caruso	Lonzo Ball	Tony Bradley
Shai Gilgeous-Alexander	Luguentz Dort	Jeremiah Robinson-Earl	Josh Giddey	Aaron Wiggins
Bradley Beal	Kentavious Caldwell-Pope	Raul Neto	Kyle Kuzma	Daniel Gafford
Dejounte Murray	Jakob Poeltl	Derrick White	Lonnie Walker IV	Keldon Johnson
Ben McLemore	Robert Covington	Jusuf Nurkic	Anfernee Simons	Nassir Little
Andre Drummond	Georges Niang	Furkan Korkmaz	Shake Milton	Matisse Thybulle
Kyle Lowry	P.J. Tucker	Dewayne Dedmon	Duncan Robinson	Gabe Vincent
Justin Holiday	Myles Turner	Domantas Sabonis	Malcolm Brogdon	Chris Duarte
Jonas Valanciunas	Josh Hart	Devonte' Graham	Nickeil Alexander-Walker	Herbert Jones
CJ McCollum	Tony Snell	Larry Nance Jr.	Anfernee Simons	Nassir Little
Trey Lyles	Hamidou Diallo	Killian Hayes	Saddiq Bey	Cade Cunningham
Justin Holiday	Myles Turner	Keifer Sykes	Domantas Sabonis	Duane Washington Jr.
Dwight Powell	Dorian Finney-Smith	Maxi Kleber	Jalen Brunson	Luka Doncic
Bradley Beal	Raul Neto	Montrezl Harrell	Kyle Kuzma	Deni Avdija
Garrett Temple	Jonas Valanciunas	Brandon Ingram	Devonte' Graham	Herbert Jones
Damian Lillard	Robert Covington	Jusuf Nurkic	Norman Powell	Anfernee Simons
Mike Conley	Hassan Whiteside	Bojan Bogdanovic	Royce O'Neale	Donovan Mitchell
Wesley Matthews	Khris Middleton	Giannis Antetokounmpo	Bobby Portis	Jordan Nwora
DeMar DeRozan	Nikola Vucevic	Zach LaVine	Derrick Jones Jr.	Lonzo Ball
Gary Harris	Mo Bamba	Wendell Carter Jr.	Franz Wagner	Jalen Suggs
Dennis Schroder	Marcus Smart	Jaylen Brown	Jayson Tatum	Robert Williams III
Kevin Durant	Blake Griffin	James Harden	Patty Mills	Bruce Brown
Jonas Valanciunas	Brandon Ingram	Josh Hart	Devonte' Graham	Nickeil Alexander-Walker
Jeff Green	Will Barton	JaMychal Green	Aaron Gordon	Monte Morris
Harrison Barnes	Richaun Holmes	De'Aaron Fox	Chimezie Metu	Tyrese Haliburton
Paul George	Eric Bledsoe	Marcus Morris Sr.	Reggie Jackson	Ivica Zubac
Derrick Rose	Alec Burks	Mitchell Robinson	Obi Toppin	Immanuel Quickley
Danny Green	Tobias Harris	Seth Curry	Joel Embiid	Shake Milton
D'Angelo Russell	Karl-Anthony Towns	Malik Beasley	Anthony Edwards	Jaden McDaniels
P.J. Tucker	Jimmy Butler	Dewayne Dedmon	Duncan Robinson	Tyler Herro
Lauri Markkanen	Jarrett Allen	Collin Sexton	Darius Garland	Evan Mobley
DeMar DeRozan	Nikola Vucevic	Zach LaVine	Lonzo Ball	Patrick Williams
Bojan Bogdanovic	Rudy Gobert	Jordan Clarkson	Royce O'Neale	Donovan Mitchell
Cory Joseph	Trey Lyles	Frank Jackson	Hamidou Diallo	Saddiq Bey
Kyle Lowry	P.J. Tucker	Bam Adebayo	Duncan Robinson	Tyler Herro
Paul George	Reggie Jackson	Ivica Zubac	Luke Kennard	Terance Mann
Carmelo Anthony	Russell Westbrook	Avery Bradley	Anthony Davis	Talen Horton-Tucker
Dejounte Murray	Jakob Poeltl	Derrick White	Keldon Johnson	Devin Vassell
Justin Holiday	Myles Turner	Domantas Sabonis	Caris LeVert	Chris Duarte
Patrick Beverley	Karl-Anthony Towns	Malik Beasley	Jarred Vanderbilt	Anthony Edwards
George Hill	Khris Middleton	Giannis Antetokounmpo	Pat Connaughton	Grayson Allen
Kyle Lowry	Jimmy Butler	Caleb Martin	Tyler Herro	Omer Yurtseven
Patrick Beverley	Karl-Anthony Towns	Malik Beasley	Anthony Edwards	Jaden McDaniels
Harrison Barnes	Alex Len	De'Aaron Fox	Marvin Bagley III	Tyrese Haliburton
Nicolas Batum	Marcus Morris Sr.	Reggie Jackson	Ivica Zubac	Amir Coffey
JaVale McGee	Devin Booker	Cameron Payne	Landry Shamet	Cameron Johnson
Jusuf Nurkic	Norman Powell	Larry Nance Jr.	Anfernee Simons	Nassir Little
Kemba Walker	Evan Fournier	Nerlens Noel	Julius Randle	RJ Barrett
Stephen Curry	Draymond Green	Otto Porter Jr.	Andrew Wiggins	Jordan Poole
Damian Lillard	Jusuf Nurkic	Norman Powell	Larry Nance Jr.	Nassir Little
Mike Muscala	Shai Gilgeous-Alexander	Darius Bazley	Luguentz Dort	Josh Giddey
Damian Lillard	Cody Zeller	Larry Nance Jr.	Anfernee Simons	Nassir Little
Nikola Vucevic	Zach LaVine	Derrick Jones Jr.	Lonzo Ball	Ayo Dosunmu
Tristan Thompson	Harrison Barnes	Buddy Hield	De'Aaron Fox	Davion Mitchell
Patrick Beverley	D'Angelo Russell	Karl-Anthony Towns	Anthony Edwards	Jaden McDaniels
Eric Bledsoe	Marcus Morris Sr.	Ivica Zubac	Luke Kennard	Terance Mann
JaVale McGee	Cameron Payne	Mikal Bridges	Landry Shamet	Cameron Johnson
Jrue Holiday	Khris Middleton	Giannis Antetokounmpo	Pat Connaughton	Grayson Allen
Jeff Green	Austin Rivers	Aaron Gordon	Nikola Jokic	Monte Morris
Harrison Barnes	Damian Jones	De'Aaron Fox	Marvin Bagley III	Tyrese Haliburton
Al Horford	Dennis Schroder	Jaylen Brown	Jayson Tatum	Robert Williams III
Ricky Rubio	Lauri Markkanen	Jarrett Allen	Darius Garland	Evan Mobley
Harrison Barnes	Richaun Holmes	De'Aaron Fox	Marvin Bagley III	Tyrese Haliburton
Steven Adams	Kyle Anderson	Jaren Jackson Jr.	Ja Morant	Desmond Bane
Tristan Thompson	Harrison Barnes	Buddy Hield	Chimezie Metu	Tyrese Haliburton
Tobias Harris	Seth Curry	Joel Embiid	Furkan Korkmaz	Matisse Thybulle
Derrick Walton Jr.	Hamidou Diallo	Saddiq Bey	Cassius Stanley	Luka Garza
Kelly Oubre Jr.	Miles Bridges	Cody Martin	Jalen McDaniels	LaMelo Ball
LaMarcus Aldridge	Kevin Durant	James Harden	Patty Mills	Bruce Brown
Dennis Schroder	Marcus Smart	Josh Richardson	Jayson Tatum	Robert Williams III
CJ McCollum	Cody Zeller	Larry Nance Jr.	Anfernee Simons	Nassir Little
Dennis Schroder	Marcus Smart	Jayson Tatum	Robert Williams III	Grant Williams
Taj Gibson	Kemba Walker	Evan Fournier	Julius Randle	RJ Barrett
Jarrett Culver	Killian Tillie	John Konchar	Xavier Tillman Sr.	Santi Aldama
Danilo Gallinari	John Collins	Kevin Huerter	Trae Young	Cam Reddish
Spencer Dinwiddie	Montrezl Harrell	Aaron Holiday	Deni Avdija	Corey Kispert
Davis Bertans	Bradley Beal	Raul Neto	Montrezl Harrell	Deni Avdija
Khem Birch	Pascal Siakam	Fred VanVleet	Gary Trent Jr.	Scottie Barnes
Eric Bledsoe	Luke Kennard	Isaiah Hartenstein	Terance Mann	Brandon Boston Jr.
Khem Birch	Pascal Siakam	Fred VanVleet	OG Anunoby	Gary Trent Jr.
Derrick Favors	Shai Gilgeous-Alexander	Luguentz Dort	Jeremiah Robinson-Earl	Josh Giddey
LeBron James	Russell Westbrook	DeAndre Jordan	Anthony Davis	Kent Bazemore
T.J. McConnell	Myles Turner	Domantas Sabonis	Caris LeVert	Chris Duarte
Paul George	Eric Bledsoe	Luke Kennard	Isaiah Hartenstein	Terance Mann
Willy Hernangomez	Brandon Ingram	Josh Hart	Devonte' Graham	Herbert Jones
Steven Adams	Kyle Anderson	Tyus Jones	Dillon Brooks	De'Anthony Melton
Reggie Bullock	Dwight Powell	Dorian Finney-Smith	Jalen Brunson	Luka Doncic
Gordon Hayward	Terry Rozier	Miles Bridges	Cody Martin	LaMelo Ball
Tim Hardaway Jr.	Dwight Powell	Kristaps Porzingis	Dorian Finney-Smith	Jalen Brunson
Bradley Beal	Kentavious Caldwell-Pope	Kyle Kuzma	Daniel Gafford	Deni Avdija
Danilo Gallinari	Clint Capela	Timothe Luwawu-Cabarrot	Kevin Huerter	Trae Young
Rudy Gay	Rudy Gobert	Jordan Clarkson	Joe Ingles	Trent Forrest
Andre Iguodala	Stephen Curry	Nemanja Bjelica	Otto Porter Jr.	Gary Payton II
George Hill	Jrue Holiday	Giannis Antetokounmpo	Pat Connaughton	Grayson Allen
Richaun Holmes	De'Aaron Fox	Chimezie Metu	Terence Davis	Tyrese Haliburton
Danny Green	Tobias Harris	Andre Drummond	Seth Curry	Tyrese Maxey
Reggie Bullock	Dwight Powell	Kristaps Porzingis	Dorian Finney-Smith	Luka Doncic
Derrick Rose	Alec Burks	Nerlens Noel	Obi Toppin	Immanuel Quickley
Khem Birch	Fred VanVleet	OG Anunoby	Svi Mykhailiuk	Gary Trent Jr.
Damian Lillard	CJ McCollum	Robert Covington	Jusuf Nurkic	Nassir Little
Paul George	Eric Bledsoe	Reggie Jackson	Ivica Zubac	Amir Coffey
George Hill	Jrue Holiday	Giannis Antetokounmpo	Bobby Portis	Grayson Allen
Al Horford	Marcus Smart	Jaylen Brown	Jayson Tatum	Grant Williams
Gordon Hayward	Mason Plumlee	Miles Bridges	Cody Martin	LaMelo Ball
D'Angelo Russell	Karl-Anthony Towns	Malik Beasley	Jarred Vanderbilt	Anthony Edwards
Reggie Bullock	Dwight Powell	Kristaps Porzingis	Dorian Finney-Smith	Jalen Brunson
Terrence Ross	Mo Bamba	Wendell Carter Jr.	Cole Anthony	Franz Wagner
Marcus Morris Sr.	Reggie Jackson	Ivica Zubac	Luke Kennard	Terance Mann
Rudy Gay	Hassan Whiteside	Jordan Clarkson	Joe Ingles	Donovan Mitchell
Harrison Barnes	Richaun Holmes	Buddy Hield	De'Aaron Fox	Davion Mitchell
Taj Gibson	Alec Burks	Evan Fournier	Julius Randle	RJ Barrett
